facility_name,city,state,zip,phone,accepts_medicaid,accepts_medicare,accepts_private_insurance,accepts_self_pay_cash,state_financed_insurance,military_insurance,ihs_tribal_urban_funds,sliding_fee_scale,payment_assistance,affordability_tier
Mountain Lakes Behavioral Healthcare — Residential Care Home,Dutton,AL,35744,256-228-3361,False,True,False,True,False,False,False,False,False,Medium Cost
Mountain Lakes Behavioral Healthcare — Sue Bolt Foster Home,Dutton,AL,35744,256-228-6514,False,True,False,True,False,False,False,False,False,Medium Cost
South Central Alabama MHC — Coffee Cnty Mental Health Center,Enterprise,AL,36330,334-347-0212,False,True,True,True,False,True,False,True,True,Free/No Cost
SpectraCare Health Systems — Barbour County Clinic,Eufaula,AL,36027,800-951-4357,False,True,True,True,False,True,False,True,False,Low Cost
West Alabama Mental Health Center — Greene County,Eutaw,AL,35462,205-372-3106,False,True,True,True,True,True,False,True,True,Free/No Cost
Health Connect America,Florence,AL,35630,256-712-2822,False,False,True,True,False,False,False,False,False,Medium Cost
Cherokee Etowah Dekalb CMHC — Dekalb County Office,Fort Payne,AL,35967,256-492-7800,False,True,True,True,True,True,False,True,False,Low Cost
DeKalb Regional Medical Center,Fort Payne,AL,35968,256-845-3150 x2725,False,True,True,True,True,True,False,False,False,Low Cost
Frantz Therapeutic Residential Home — Frantz Home,Gadsden,AL,35901,256-492-7800,False,True,True,True,True,True,False,False,False,Low Cost
Riverview Regional Medical Center — Senior Heights,Gadsden,AL,35901,256-543-5200,False,True,True,True,False,True,False,False,False,Medium Cost
SpectraCare Health Systems — Geneva County Clinic,Geneva,AL,36340,800-951-4357,False,True,True,True,True,True,False,True,False,Low Cost
West Alabama Mental Health Center — Hale County Office,Greensboro,AL,36744,334-624-4905,False,True,True,True,True,True,False,True,True,Free/No Cost
South Central Alabama MHC — Butler County Mental Health Center,Greenville,AL,36037,334-382-2018,False,True,True,True,False,True,False,True,True,Free/No Cost
South Central Alabama MHC — Green House Behavioral Group Home,Greenville,AL,36037,334-382-1645,False,False,False,True,False,False,False,True,True,Free/No Cost
South Central Alabama MHC — Stepping Stones/Butler County,Greenville,AL,36037,334-382-2353,False,False,True,True,False,True,False,True,True,Free/No Cost
Birmingham VA Healthcare System — Guntersville VA Clinic,Guntersville,AL,35976,256-582-4033,False,True,True,False,False,True,False,False,False,Medium Cost
Marshall Medical Centers North — Behavioral Health Unit,Guntersville,AL,35976,256-571-8722,False,True,True,True,True,True,False,False,False,Low Cost
Mountain Lakes Behavioral Healthcare,Guntersville,AL,35976,256-259-1774,False,True,True,True,False,False,False,True,True,Free/No Cost
Northwest Alabama Mental Health Ctr,Haleyville,AL,35565,205-486-4111,False,True,True,True,False,False,False,True,False,Low Cost
Pathway Healthcare — Hartselle,Hartselle,AL,35640,256-754-5178,False,True,True,True,True,True,False,False,False,Low Cost
Birmingham VA Healthcare System — Huntsville VA Clinic,Huntsville,AL,35805,256-533-8477,False,True,True,False,False,True,False,False,False,Medium Cost
Care Clinic,Huntsville,AL,35802,844-782-6963,False,False,True,True,False,False,False,False,False,Medium Cost
Pathway Healthcare,Huntsville,AL,35801,256-880-5818,False,True,True,True,False,False,False,False,False,Medium Cost
Pinnacle Behavioral Health — Intensive Outpatient Program,Huntsville,AL,35816,256-518-9998,False,False,True,True,False,False,False,False,False,Medium Cost
Unity Psychiatric Care,Huntsville,AL,35806,256-964-6700,False,True,True,True,False,False,False,False,False,Medium Cost
WellStone Inc,Huntsville,AL,35802,256-533-1970,False,True,True,True,True,True,False,True,False,Low Cost
Birmingham VA Healthcare System — Jasper VA Clinic,Jasper,AL,35501,205-221-7384,False,True,True,False,False,True,False,False,False,Medium Cost
Health Connect America,Jasper,AL,35501,205-530-6007,False,False,True,True,False,False,False,True,True,Free/No Cost
West Alabama Mental Health Center — Sumter County,Livingston,AL,35470,205-652-6731,False,True,True,True,True,True,False,True,True,Free/No Cost
Beacon Childrens Hospital,Luverne,AL,36049,334-335-5040,False,False,True,True,True,True,False,False,False,Low Cost
South Central Alabama MHC — Crenshaw County Mental Health Center,Luverne,AL,36049,334-335-5201,False,True,True,True,False,True,False,True,True,Free/No Cost
South Central Alabama MHC — Graceland/3 Bed Group Home,McKenzie,AL,36456,334-222-2525 x70339,False,False,False,True,False,False,False,True,True,Free/No Cost
AltaPointe Health Systems Inc — BayPointe Hospital,Mobile,AL,36693,251-661-0153,False,False,True,True,False,False,False,False,False,Medium Cost
CCBHC at Vets Recover,Mobile,AL,36604,251-405-3677,False,False,True,True,False,True,False,True,True,Free/No Cost
Central Alabama VA Healthcare System — West Campus,Montgomery,AL,36109,334-272-4670 x35540,False,False,True,True,False,True,False,False,False,Medium Cost
MHCNCA Inc — Moulton Lawrence Counseling Center,Moulton,AL,35650,256-974-6697,False,True,True,True,True,False,False,False,False,Low Cost
Northport Medical Center — North Harbor Psych Pavillion,Northport,AL,35476,205-330-3101,False,True,True,True,True,True,False,False,False,Low Cost
Eastside CMHC — Blount County CMHC,Oneonta,AL,35121,205-628-3882,False,True,True,True,True,False,False,True,False,Low Cost
East Alabama Medical Center — Department of Psychiatric Medicine,Opelika,AL,36801,334-528-1010 x4198,False,True,True,True,True,True,False,False,False,Low Cost
East Alabama Mental Health Center — Family and Childrens Services Center,Opelika,AL,36801,334-742-2700,False,False,True,True,True,True,False,False,False,Low Cost
Mizell Memorial Hospital,Opp,AL,36467,334-493-9134 x2111,False,True,True,True,True,True,False,False,False,Low Cost
Birmingham VA Healthcare System — Oxford VA Clinic,Oxford,AL,36203,256-832-4141,False,True,True,False,False,True,False,False,False,Medium Cost
Dale Medical Center — New Day Psychiatric Unit,Ozark,AL,36360,334-774-7352,False,True,True,True,False,True,False,False,False,Medium Cost
SpectraCare Health Systems — Dale County/Clinic and Day Treatment,Ozark,AL,36360,800-951-4357,False,True,True,True,False,True,False,True,False,Low Cost
Central Alabama Wellness,Pelham,AL,35124,205-651-0077,False,True,True,True,True,True,False,True,False,Low Cost
Eastside CMHC — Saint Clair County CMHC,Pell City,AL,35125,205-338-7525,False,True,True,True,True,False,False,True,False,Low Cost
Immanuel Counseling Services,Phenix City,AL,36867,334-655-1414,False,False,True,True,True,True,False,False,False,Low Cost
Birmingham VA Healthcare System — Rainbow City VA Clinic,Rainbow City,AL,35906,256-413-7154,False,True,True,False,False,True,False,False,False,Medium Cost
SpectraCare Health Systems — Geneva County Day Treatment,Samson,AL,36477,800-951-4357,False,True,True,True,False,True,False,True,False,Low Cost
Mountain Lakes Behavioral Healthcare — Jackson County Office,Scottsboro,AL,35768,256-259-1774,False,True,True,True,False,False,False,True,True,Free/No Cost
Birmingham VA Healthcare System — Florence VA Clinic,Sheffield,AL,35660,256-381-9055,False,True,True,False,False,True,False,False,False,Medium Cost
Coosa Valley Senior Behav Hlth,Sylacauga,AL,35150,256-401-4000,False,True,True,True,False,True,False,False,True,Free/No Cost
Bryce Hospital,Tuscaloosa,AL,35404,205-507-8000,False,True,False,False,True,False,False,False,False,Low Cost
Bullock County Hospital,Union Springs,AL,36089,334-738-2140,False,True,False,False,False,False,False,False,False,Medium Cost
SpectraCare Health Systems — Webb Group Home,Webb,AL,36376,334-712-9191,False,True,True,True,False,False,False,False,False,Medium Cost
Northwest Medical Center,Winfield,AL,35594,205-487-7916,False,True,True,True,False,True,False,False,False,Medium Cost
AK Child and Family,Anchorage,AK,99507,907-346-2101,False,False,True,True,True,True,False,False,False,Low Cost
Alaska Behavioral Health,Anchorage,AK,99508,907-563-1000,False,True,True,True,True,True,False,True,True,Free/No Cost
Alaska Psychiatric Institute,Anchorage,AK,99508,907-269-7100,False,True,True,True,True,True,False,False,True,Free/No Cost
Alaska VA Healthcare System,Anchorage,AK,99503,907-273-4011,False,False,True,False,False,True,False,False,False,Medium Cost
Aleutian Pribilof Islands Association,Anchorage,AK,99518,907-276-2700,False,True,True,False,True,True,False,True,False,Low Cost
Arc of Anchorage,Anchorage,AK,99508,907-277-6677,False,False,True,True,False,False,False,True,False,Low Cost
Chris Kyle Patriots Hospital,Anchorage,AK,99508,907-272-6206,False,True,True,False,True,True,False,True,False,Low Cost
Chugachmiut — Chugachmiut Behavioral Health Dept,Anchorage,AK,99508,907-562-4155 x143,False,False,True,True,False,False,False,True,True,Free/No Cost
Daybreak Inc,Anchorage,AK,99518,907-677-5988,False,False,False,True,True,False,False,True,False,Low Cost
Denali Family Services,Anchorage,AK,99504,907-274-8281,False,False,True,True,True,True,False,True,True,Free/No Cost
Hope Community Resources,Anchorage,AK,99518,907-561-5335 x4901,False,False,True,True,False,False,False,True,False,Low Cost
Providence Alaska Medical Center — Mental Health/4W,Anchorage,AK,99519,907-212-3090,False,True,True,True,True,True,False,False,False,Low Cost
Providence Crisis Recovery Center,Anchorage,AK,99508,907-212-6299,False,False,True,True,True,True,False,False,False,Low Cost
Volunteers of America — Supportive Housing,Anchorage,AK,99503,907-279-9640,False,True,True,True,True,False,False,False,False,Low Cost
Railbelt Mental Health and Addictions,Anderson,AK,99744,907-832-5557,False,False,True,True,True,False,False,True,False,Low Cost
Gathering Place,Barrow,AK,99723,907-852-0402,False,False,False,False,False,False,False,False,False,Unknown
North Slope Borough — DHSS/Integrated Behavioral Health,Barrow,AK,99723,907-852-0366 x4105,False,False,False,False,False,False,False,False,False,Unknown
North Slope Borough — Health Department/CYS,Barrow,AK,99723,907-852-0344,False,False,False,False,False,False,False,False,False,Unknown
Copper River Native Association — Behavioral Health Services,Copper Center,AK,99573,907-822-5241 x254,False,True,True,True,True,False,False,True,False,Low Cost
Sound Alternatives — Behavioral Health Clinic,Cordova,AK,99574,907-424-8300,False,True,True,True,True,True,False,True,True,Free/No Cost
Community Connections — Craig Offices,Craig,AK,99921,907-826-3891,False,True,True,True,True,True,False,True,False,Low Cost
Discovery Cove Recovery and — Wellness Center,Eagle River,AK,99577,907-694-5550,False,False,True,True,False,True,False,False,False,Medium Cost
Alaska Behavioral Health,Fairbanks,AK,99709,907-231-5332,False,True,True,True,True,True,False,True,True,Free/No Cost
Fairbanks Native Association — Ralph Perdue Center,Fairbanks,AK,99701,907-452-6251 x6411,False,False,True,True,False,True,False,False,False,Medium Cost
Family Centered Services of Alaska — Outpatient Mental Health and Substance,Fairbanks,AK,99709,907-474-0890,False,False,True,True,True,True,False,False,False,Low Cost
Family Centered Services of Alaska — Residential Treatment Center,Fairbanks,AK,99701,907-474-0890,False,False,True,True,False,True,False,False,False,Medium Cost
Tanana Chiefs Conference Inc — Behavioral Health,Fairbanks,AK,99701,907-452-8251 x3800,False,True,True,True,True,True,False,False,False,Low Cost
Haines Mountainside Behavioral Health — SEARHC,Haines,AK,99827,907-766-6313,False,True,True,True,True,True,False,True,False,Low Cost
Railbelt Mental Health and Addictions,Healy,AK,99743,907-832-5557,False,False,True,True,True,False,False,True,False,Low Cost
South Peninsula Behav Health Services — The Center,Homer,AK,99603,907-235-7701,False,True,True,True,False,True,False,True,True,Free/No Cost
Bartlett Regional Hospital — Mental Health Unit,Juneau,AK,99801,907-796-8430 x8592,False,True,True,True,True,True,False,False,False,Low Cost
JAMHI Health and Wellness Inc — Douglas Terrace,Juneau,AK,99801,907-463-3303,False,True,False,True,False,False,False,True,False,Low Cost
JAMHI Health and Wellness Inc — Pond Housing,Juneau,AK,99801,907-463-3303,False,True,False,False,False,False,False,True,False,Low Cost
JAMHI Health and Wellness Inc — Salmon Creek Clinic,Juneau,AK,99801,907-463-3303,False,True,True,True,False,False,False,True,True,Free/No Cost
JAMHI Health and Wellness Inc — Salmon Creek Lodge,Juneau,AK,99801,907-463-3303,False,True,False,False,False,False,False,True,False,Low Cost
Juneau Behavioral Health — SEARHC,Juneau,AK,99801,907-364-4445,False,True,True,True,True,True,False,True,False,Low Cost
Peninsula Community Health Services — Kenai,Kenai,AK,99611,907-260-7300,False,True,True,True,False,True,False,True,False,Low Cost
Akeela Inc — Gateway Center for Human Services,Ketchikan,AK,99901,907-225-4135,False,False,False,True,False,False,False,True,False,Low Cost
Community Connections — Ketchikan,Ketchikan,AK,99901,907-225-7825,False,True,True,True,True,True,False,True,False,Low Cost
RYC Annex Facility,Ketchikan,AK,99901,866-838-1861,False,False,True,True,False,True,False,True,True,Free/No Cost
RYC Hill House — Hemlock Lodge,Ketchikan,AK,99901,866-838-1861 x110,False,False,True,True,False,True,False,True,True,Free/No Cost
RYC Long Term Residential — Spruce Lodge,Ketchikan,AK,99901,907-225-4664 x1,False,False,True,True,False,True,False,True,True,Free/No Cost
Klawock Behavioral Health — SEARHC,Klawock,AK,99925,907-755-4986,False,True,True,True,True,True,False,True,False,Low Cost
Kodiak Area Native Association,Kodiak,AK,99615,907-486-9800 x9816,False,True,True,True,True,True,False,True,False,Low Cost
Kodiak Community Health Center,Kodiak,AK,99615,907-481-5000,False,True,True,True,True,True,False,True,False,Low Cost
Maniilaq Counseling and Recovery Ctr,Kotzebue,AK,99752,907-442-7640,False,True,True,True,True,True,False,False,False,Low Cost
Wil La Mootk Counseling Center,Metlakatla,AK,99926,907-886-6911,False,False,False,False,False,False,False,False,True,Free/No Cost
Norton Sound Health Corporation — Behavioral Health Services,Nome,AK,99762,907-443-3339,False,True,True,True,True,True,False,True,False,Low Cost
CoOccurring Disorders Institute (CODI) — DBA Compassionate Directions,Palmer,AK,99645,907-745-2634,False,False,True,True,True,True,False,True,True,Free/No Cost
Daybreak Inc,Palmer,AK,99645,907-746-6019,False,False,False,True,True,False,False,True,False,Low Cost
North Star Palmer RTC — Summit Program,Palmer,AK,99645,907-258-7575,False,False,True,True,True,False,False,False,False,Low Cost
Petersburg Mountainside Behavioral — SEARHC,Petersburg,AK,99833,907-772-4963,False,True,True,True,True,True,False,True,False,Low Cost
Seaview Adult Mental Health — Residential,Seward,AK,99664,907-224-5257,False,True,True,True,False,True,False,True,False,Low Cost
Seaview Community Services,Seward,AK,99664,907-224-5257 x1041,False,True,True,True,False,True,False,True,False,Low Cost
Sitka Counseling and Prevention Servs — Integrated Behavioral Health Program,Sitka,AK,99835,907-747-3636 x237,False,True,True,True,False,True,False,True,False,Low Cost
Peninsula Community Health Services of — Soldotna,Soldotna,AK,99669,907-260-7300,False,True,True,True,False,True,False,True,False,Low Cost
TCC Upper Tanana Behavioral Health,Tok,AK,99780,907-883-5107,False,True,True,True,True,True,False,False,False,Low Cost
Aleutian Pribilof Islands Association — Oonalaska Wellness Center,Unalaska,AK,99685,907-581-2751,False,True,True,True,True,True,False,True,True,Free/No Cost
Providence Health and Servs Alaska — DBA Providence Valdez Counseling Ctr,Valdez,AK,99686,907-835-2838,False,True,True,True,True,True,False,True,True,Free/No Cost
Alaska Family Services — Behavioral Health Treatment Center,Wasilla,AK,99654,907-376-4000,False,False,True,True,True,False,False,True,False,Low Cost
Denali Family Services,Wasilla,AK,99654,907-274-8281,False,False,True,True,True,True,False,True,True,Free/No Cost
Mat Su Health Services,Wasilla,AK,99654,907-376-2411,False,True,True,True,True,True,False,True,False,Low Cost
Resilience Reach 907,Wasilla,AK,99654,907-745-6200,False,False,False,True,False,False,False,False,False,Medium Cost
True North Recovery Inc — Vita Nova,Wasilla,AK,99623,907-313-1333,False,False,False,True,False,False,False,True,False,Low Cost
Wasilla Behavioral Health Services — Outpatient,Wasilla,AK,99654,907-357-7519,False,False,True,True,False,True,False,False,False,Medium Cost
SEAK Behavioral Health and — Addiction,Wrangell,AK,99929,907-305-0985,False,False,True,True,False,False,False,False,False,Medium Cost
Wrangell Behavioral Health — SEARHC,Wrangell,AK,99929,907-874-5000,False,True,True,True,True,True,False,True,False,Low Cost
Desert Senita Community Health Center,Ajo,AZ,85321,520-387-5651,False,True,True,True,True,True,False,True,False,Low Cost
Arizona Mentor,Arizona City,AZ,85123,602-200-9494,False,False,False,True,False,False,False,False,False,Medium Cost
Community Bridges Inc — West Valley Inpatient,Avondale,AZ,85323,623-907-1457,False,True,True,True,False,False,False,False,False,Medium Cost
Copper Springs,Avondale,AZ,85392,480-565-3035,False,True,True,True,True,True,False,True,False,Low Cost
Denova Collaborative Health — Avondale,Avondale,AZ,85323,602-230-7373,False,True,True,True,True,True,False,False,False,Low Cost
Stand Together and Recover Centers,Avondale,AZ,85323,623-882-8463,False,True,True,True,True,False,False,True,False,Low Cost
Touchstone Health Services — Avondale,Avondale,AZ,85392,866-207-3882,False,False,False,True,True,False,False,True,False,Low Cost
Caring Connections for — Special Needs LLC,Benson,AZ,85602,520-639-9006,False,False,True,False,False,False,False,False,False,Medium Cost
Southeastern Arizona Behavioral Health — Services Inc (SEABHS),Benson,AZ,85602,520-586-6177,False,True,True,True,False,False,False,True,False,Low Cost
Southwest Behavioral Health Services — Buckeye Clinic,Buckeye,AZ,85326,623-882-9906,False,True,True,True,True,False,False,False,False,Low Cost
Mohave Mental Health Clinic Inc,Bullhead City,AZ,86442,928-758-5905,False,True,True,True,True,True,False,True,True,Free/No Cost
Mohave Mental Health Clinic Inc — Child and Family Service Center,Bullhead City,AZ,86442,928-758-5905,False,True,False,True,True,False,False,True,True,Free/No Cost
Rivyve Behavioral Health,Bullhead City,AZ,86442,928-296-8898,False,False,True,True,True,False,False,True,False,Low Cost
Southwest Behavioral Health Services — Bullhead City Outpatient Clinic,Bullhead City,AZ,86442,928-763-7776,False,False,True,True,True,True,False,True,False,Low Cost
Polara Health — Camp Verde Clinic,Camp Verde,AZ,86322,928-554-5211 x2901,False,True,True,True,False,True,False,False,False,Medium Cost
Spectrum Healthcare,Camp Verde,AZ,86322,928-634-2236,False,True,True,True,True,False,False,True,False,Low Cost
Arizona Mentor,Casa Grande,AZ,85122,602-200-9494,False,False,False,True,False,False,False,False,False,Medium Cost
Corazon,Casa Grande,AZ,85122,520-836-4278 x3637,False,True,True,True,False,False,False,True,False,Low Cost
Easterseals Blake Foundation,Casa Grande,AZ,85122,520-723-4429,False,True,False,True,True,False,False,False,False,Low Cost
Helping Associates Inc,Casa Grande,AZ,85122,520-836-1029,False,False,False,True,True,False,False,True,False,Low Cost
Horizon Health and Wellness,Casa Grande,AZ,85122,833-431-4449,False,True,True,True,True,False,False,True,False,Low Cost
Horizon Health and Wellness — Casa Grande Main Office,Casa Grande,AZ,85122,833-431-4449,False,True,True,True,True,False,False,True,False,Low Cost
Horizon Health and Wellness — Peart III,Casa Grande,AZ,85122,520-836-1911,False,False,False,False,True,False,False,False,False,Low Cost
PSA Behavioral Health Agency — DBA Resilient Health,Casa Grande,AZ,85122,602-995-1767,False,False,False,True,False,False,False,False,False,Medium Cost
Transitional Living Center — Recovery,Casa Grande,AZ,85122,520-413-9941,False,False,False,True,False,False,False,False,False,Medium Cost
Arizona Mentor — Curry,Chandler,AZ,85225,602-200-9494,False,False,False,True,False,False,False,False,False,Medium Cost
Arizona Mentor — Horizon,Chandler,AZ,85286,602-200-9494,False,False,False,True,False,False,False,False,False,Medium Cost
Arizonas Children Association,Chandler,AZ,85225,480-814-7789,False,False,False,False,False,False,False,False,False,Unknown
Banner Behavioral Health Hospital — Outpatient Services/Chandler Campus,Chandler,AZ,85224,480-543-6767,False,False,True,True,False,False,False,False,False,Medium Cost
Buena Vista Health and Recovery LLC — Chandler,Chandler,AZ,85248,800-922-0095,False,False,True,True,False,True,False,False,False,Medium Cost
Dutiful Angels Behavioral Clinic,Chandler,AZ,85225,602-880-1851,False,False,True,True,False,False,False,True,False,Low Cost
Lifeline Professional Counseling Servs,Chandler,AZ,85224,480-641-1165,False,True,True,True,True,True,False,False,False,Low Cost
Oasis Behavioral Health Hospital,Chandler,AZ,85225,480-917-9301,False,True,True,True,True,True,False,False,False,Low Cost
Polara Health — Chino Valley Clinic,Chino Valley,AZ,86323,928-445-5211,False,True,True,True,False,True,False,True,False,Low Cost
Canyonlands Healthcare — Clifton,Clifton,AZ,85533,928-865-2500,False,True,True,True,True,True,False,True,False,Low Cost
CBI Encompass Health Services — Colorado City Outpatient,Colorado City,AZ,86021,928-875-2066,False,True,True,True,True,True,False,False,False,Low Cost
Helping Ourselves Pursue Enrichment — Cottonwood Office,Cottonwood,AZ,86326,928-642-4057,False,True,False,False,False,False,False,False,True,Free/No Cost
Spectrum Healthcare,Cottonwood,AZ,86326,877-634-7333,False,True,True,True,True,False,False,False,False,Low Cost
Mingus Mountain Academy — Farrington House,Dewey,AZ,86327,602-335-2000,False,False,True,True,True,True,False,False,False,Low Cost
Caring Connections for — Special Needs LLC,Douglas,AZ,85607,520-639-9006,False,False,True,False,False,False,False,False,False,Medium Cost
Community Health Associates — CHA Douglas,Douglas,AZ,85607,520-366-3133,False,True,True,True,True,True,False,True,False,Low Cost
Helping Ourselves Pursue Enrichment — Douglas Office,Douglas,AZ,85607,520-364-6767,False,False,False,False,False,False,False,False,True,Free/No Cost
PSA Behavioral Health Agency — DBA Resilient Health,Douglas,AZ,85607,520-253-8186,False,False,False,True,False,False,False,False,False,Medium Cost
Southeastern Arizona Behavioral Health — Services Inc (SEABHS),Douglas,AZ,85607,520-364-3630,False,True,True,True,False,False,False,True,False,Low Cost
Canyonlands Community Healthcare — Duncan,Duncan,AZ,85534,928-359-1380,False,True,True,True,True,True,False,True,False,Low Cost
Arizona Behavioral Health Associates,Flagstaff,AZ,86001,928-774-7997,False,False,True,True,False,True,False,True,False,Low Cost
Flagstaff Medical Center — Behavioral Health Services,Flagstaff,AZ,86001,928-214-3937,False,True,True,True,False,True,False,False,False,Medium Cost
Guidance Center Inc — Outpatient Services,Flagstaff,AZ,86004,928-527-1899,False,True,True,True,False,False,False,True,False,Low Cost
Native Americans for Community Action — Substance Abuse Services,Flagstaff,AZ,86004,928-773-1245 x260,False,True,True,True,False,False,False,False,False,Medium Cost
North Country Healthcare,Flagstaff,AZ,86004,928-522-9400,False,True,True,True,False,False,False,True,True,Free/No Cost
Horizon Health and Wellness,Florence,AZ,85132,833-431-4449,False,True,True,True,True,False,False,True,False,Low Cost
CBI Encompass Health Services — Fredonia Outpatient,Fredonia,AZ,86022,602-407-6280,False,True,True,True,True,True,False,False,False,Low Cost
2nd Chance Treatment Center,Gilbert,AZ,85297,602-464-9576,False,True,True,True,True,True,False,False,False,Low Cost
Arizonas Children Association,Gilbert,AZ,85234,480-474-2263,False,False,False,False,False,False,False,False,False,Unknown
Care Clinic,Gilbert,AZ,85296,844-782-6963,False,False,True,True,False,False,False,False,False,Medium Cost
Grossman and Grossman Ltd — Mesa Office,Gilbert,AZ,85296,602-468-2077,False,False,False,True,False,False,False,False,False,Medium Cost
