facility_id,facility_name,address,city,state,zip,phone,google_maps_url,combined_text
T00011,Ability Plus Mental Health Clinic,820 East Park Avenue,Tallahassee,FL,32301,8509662145,https://www.google.com/maps/place/Ability+Plus+Mental+Health+Clinic/data=!4m7!3m6!1s0x88ec5770db63ffff:0xb7da437fb357a41!8m2!3d30.4424385!4d-84.2695654!16s%2Fg%2F11s0skjkk8!19sChIJ__9j23BX7IgRQXo1-zekfQs?authuser=0&hl=zh-CN&rclk=1,ability plus mental health clinic 820 east park avenue tallahassee fl 32301 8509662145 mental health behavioral health counseling therapy psychiatry psychology
T00012,Access Behavioral Health Services,1276 West River Street,Boise,ID,83702,2083384699,https://www.google.com/maps/place/Access+Behavioral+Health+Services/data=!4m7!3m6!1s0x54aef8eebb08b711:0xae90f41b366ba05f!8m2!3d43.6149378!4d-116.2143445!16s%2Fg%2F1tffz6rk!19sChIJEbcIu-74rlQRX6BrNhv0kK4?authuser=0&hl=zh-CN&rclk=1,access behavioral health services 1276 west river street boise id 83702 2083384699 mental health behavioral health counseling therapy psychiatry psychology
T00013,Access Mental Health,105 Wheeler Street,Savannah,GA,31405,9122009818,https://www.google.com/maps/place/Access+Mental+Health/data=!4m7!3m6!1s0x88fb75a3b1b9a54b:0x9119953f812b6c85!8m2!3d32.0178142!4d-81.1125171!16s%2Fg%2F1vy7hfc7!19sChIJS6W5saN1-4gRhWwrgT-VGZE?authuser=0&hl=zh-CN&rclk=1,access mental health 105 wheeler street savannah ga 31405 9122009818 mental health behavioral health counseling therapy psychiatry psychology
T00014,Access Mental health Services PLLC,1001 Elm Street,Manchester,NH,03101,6036001033,https://www.google.com/maps/place/Access+Mental+health+Services+PLLC/data=!4m7!3m6!1s0x89e24fdb52116821:0xaac195605e57e805!8m2!3d42.9924129!4d-71.462882!16s%2Fg%2F11sv3xgssr!19sChIJIWgRUttP4okRBehXXmCVwao?authuser=0&hl=zh-CN&rclk=1,access mental health services pllc 1001 elm street manchester nh 03101 6036001033 mental health behavioral health counseling therapy psychiatry psychology
T00015,Access Ohio Mental Health Center,21 Outerbelt Street,Columbus,OH,43213,6146553345,https://www.google.com/maps/place/Access+Ohio+Mental+Health+Center/data=!4m7!3m6!1s0x8838638c9be4b81f:0x6fb5989db725a07e!8m2!3d39.9814109!4d-82.8316645!16s%2Fg%2F1tgf8fy_!19sChIJH7jkm4xjOIgRfqAlt52YtW8?authuser=0&hl=zh-CN&rclk=1,access ohio mental health center 21 outerbelt street columbus oh 43213 6146553345 mental health behavioral health counseling therapy psychiatry psychology
T00016,Access Solutions Behavioral Health,4750 South Garnett Road East,Tulsa,OK,74146,5398122100,https://www.google.com/maps/place/Access+Solutions+Behavioral+Health/data=!4m7!3m6!1s0x87b68d20ff34b441:0x2152e70147e547a0!8m2!3d36.0937527!4d-95.8517211!16s%2Fg%2F11yccd734g!19sChIJQbQ0_yCNtocRoEflRwHnUiE?authuser=0&hl=zh-CN&rclk=1,access solutions behavioral health 4750 south garnett road east tulsa ok 74146 5398122100 mental health behavioral health counseling therapy psychiatry psychology
T00017,Active Path Mental Health,2701 Northwest Vaughn Street,Portland,OR,97210,5036476456,https://www.google.com/maps/place/Active+Path+Mental+Health/data=!4m7!3m6!1s0x549509e5ce63a441:0xf95dafc61e60b1b!8m2!3d45.5375259!4d-122.7081015!16s%2Fg%2F11dxnm02n7!19sChIJQaRjzuUJlVQRGwvmYfzalQ8?authuser=0&hl=zh-CN&rclk=1,active path mental health 2701 northwest vaughn street portland or 97210 5036476456 mental health behavioral health counseling therapy psychiatry psychology
T00018,Active Path Mental Health,2525 12th Street Southeast,Salem,OR,97302,5036476456,https://www.google.com/maps/place/Active+Path+Mental+Health/data=!4m7!3m6!1s0x54bfff8b55986417:0xb75d4389d1a8eb9a!8m2!3d44.9165793!4d-123.0315998!16s%2Fg%2F11jb9d4cmh!19sChIJF2SYVYv_v1QRmuuo0YlDXbc?authuser=0&hl=zh-CN&rclk=1,active path mental health 2525 12th street southeast salem or 97302 5036476456 mental health behavioral health counseling therapy psychiatry psychology
T00019,Adapt Psychiatry,273 Ridge Road,Buffalo,NY,14218,7169296888,https://www.google.com/maps/place/Adapt+Psychiatry/data=!4m7!3m6!1s0x89d37f8319260071:0x8898f6b76344b78!8m2!3d42.8267086!4d-78.8415064!16s%2Fg%2F11qsskyvq6!19sChIJcQAmGYN_04kReEs0dmuPiQg?authuser=0&hl=zh-CN&rclk=1,adapt psychiatry 273 ridge road buffalo ny 14218 7169296888 mental health behavioral health counseling therapy psychiatry psychology
T00020,Adult Outpatient Psychiatric Services - New Haven,425 George Street,New Haven,CT,06511,2036883182,https://www.google.com/maps/place/Adult+Outpatient+Psychiatric+Services+-+New+Haven/data=!4m7!3m6!1s0x89e7d96f1638563b:0xaf0a069fe5c425db!8m2!3d41.3075415!4d-72.9356159!16s%2Fg%2F11f6kg70rj!19sChIJO1Y4Fm_Z54kR2yXE5Z8GCq8?authuser=0&hl=zh-CN&rclk=1,adult outpatient psychiatric services - new haven 425 george street new haven ct 06511 2036883182 mental health behavioral health counseling therapy psychiatry psychology
T00021,Adult Psychiatry Emergency Services at Rhode Island Hospital,593 Eddy Street,Providence,RI,02903,4014444779,https://www.google.com/maps/place/Adult+Psychiatry+Emergency+Services+at+Rhode+Island+Hospital/data=!4m7!3m6!1s0x89e44568c423428d:0x8e3c4c664763f5d6!8m2!3d41.8114484!4d-71.4109295!16s%2Fg%2F11hczxzbht!19sChIJjUIjxGhF5IkR1vVjR2ZMPI4?authuser=0&hl=zh-CN&rclk=1,adult psychiatry emergency services at rhode island hospital 593 eddy street providence ri 02903 4014444779 mental health behavioral health counseling therapy psychiatry psychology
T00022,"Advanced Behavioral Health Services, LLC",1952 McDowell Road,Naperville,IL,60563,6306891022,"https://www.google.com/maps/place/Advanced+Behavioral+Health+Services,+LLC/data=!4m7!3m6!1s0x880ef8fcb7a97cdf:0x8f98befdb86e8daa!8m2!3d41.7958591!4d-88.2033625!16s%2Fg%2F11xmjxqrj!19sChIJ33ypt_z4DogRqo1uuP2-mI8?authuser=0&hl=zh-CN&rclk=1","advanced behavioral health services, llc 1952 mcdowell road naperville il 60563 6306891022 mental health behavioral health counseling therapy psychiatry psychology"
T00023,Advanced Practice Mental Health,Northwest 23rd Street,Oklahoma City,OK,73127,4058331108,https://www.google.com/maps/place/Advanced+Practice+Mental+Health/data=!4m7!3m6!1s0x87b211f35e3b0145:0x52ecd9a68deee622!8m2!3d35.4929953!4d-97.5452295!16s%2Fg%2F11rfks018c!19sChIJRQE7XvMRsocRIubujabZ7FI?authuser=0&hl=zh-CN&rclk=1,advanced practice mental health northwest 23rd street oklahoma city ok 73127 4058331108 mental health behavioral health counseling therapy psychiatry psychology
T00024,Advanced Psychiatry Associates,2386 Fair Oaks Boulevard,Sacramento,CA,95825,8772725818,https://www.google.com/maps/place/Advanced+Psychiatry+Associates/data=!4m7!3m6!1s0x809adbf979569349:0x320d0bbc21938b49!8m2!3d38.5734186!4d-121.406754!16s%2Fg%2F11fnyn0z1v!19sChIJSZNWefnbmoARSYuTIbwLDTI?authuser=0&hl=zh-CN&rclk=1,advanced psychiatry associates 2386 fair oaks boulevard sacramento ca 95825 8772725818 mental health behavioral health counseling therapy psychiatry psychology
T00025,Agassiz Associates,31st Avenue South,Grand Forks,ND,58201,7017466336,https://www.google.com/maps/place/Agassiz+Associates/data=!4m7!3m6!1s0x52c680d3aaaaaaab:0xaa347e94419793da!8m2!3d47.8900549!4d-97.0619169!16s%2Fg%2F11c5_528t9!19sChIJq6qqqtOAxlIR2pOXQZR-NKo?authuser=0&hl=zh-CN&rclk=1,agassiz associates 31st avenue south grand forks nd 58201 7017466336 mental health behavioral health counseling therapy psychiatry psychology
T00026,Akeso Behavioral Health Services,4700 Lake Ellenor Drive,Orlando,FL,32839,4073252235,https://www.google.com/maps/place/Akeso+Behavioral+Health+Services/data=!4m7!3m6!1s0x88e77d59434a63eb:0x3058220c834f0968!8m2!3d28.468725!4d-81.4022848!16s%2Fg%2F11h4g04vym!19sChIJ62NKQ1l954gRaAlPgwwiWDA?authuser=0&hl=zh-CN&rclk=1,akeso behavioral health services 4700 lake ellenor drive orlando fl 32839 4073252235 mental health behavioral health counseling therapy psychiatry psychology
T00027,Alabama Psychiatry & Counseling,Urban Center Parkway,Vestavia Hills,AL,35223,2054406292,https://www.google.com/maps/place/Alabama+Psychiatry+%26+Counseling/data=!4m7!3m6!1s0x8889172ab7d2bfe3:0xc5aeca331a65b5ac!8m2!3d33.4839426!4d-86.7022002!16s%2Fg%2F11b867d9kc!19sChIJ47_StyoXiYgRrLVlGjPKrsU?authuser=0&hl=zh-CN&rclk=1,alabama psychiatry & counseling urban center parkway vestavia hills al 35223 2054406292 mental health behavioral health counseling therapy psychiatry psychology
T00028,Alaska Behavioral Health,Newton Street,Fairbanks,AK,99707,9073711300,https://www.google.com/maps/place/Alaska+Behavioral+Health/data=!4m7!3m6!1s0x5132500bd19728cb:0x249e839759d53c00!8m2!3d64.8352378!4d-147.774185!16s%2Fg%2F1tfs0q71!19sChIJyyiX0QtQMlERADzVWZeDniQ?authuser=0&hl=zh-CN&rclk=1,alaska behavioral health newton street fairbanks ak 99707 9073711300 mental health behavioral health counseling therapy psychiatry psychology
T00029,Alaska Behavioral Health - Adult Intensive Services,East 13th Avenue,Anchorage,AK,88591,9075631000,https://www.google.com/maps/place/Alaska+Behavioral+Health+-+Adult+Intensive+Services/data=!4m7!3m6!1s0x56c8963391113c4f:0x7b8d9e3c1fbf12c0!8m2!3d61.2098704!4d-149.8703926!16s%2Fg%2F11c1n_1649!19sChIJTzwRkTOWyFYRwBK_HzyejXs?authuser=0&hl=zh-CN&rclk=1,alaska behavioral health - adult intensive services east 13th avenue anchorage ak 88591 9075631000 mental health behavioral health counseling therapy psychiatry psychology
T00030,Alaska Behavioral Health - Adult Outpatient Clinic,Lake Otis Parkway,Anchorage,AK,99508,9075631000,https://www.google.com/maps/place/Alaska+Behavioral+Health+-+Adult+Outpatient+Clinic/data=!4m7!3m6!1s0x56c897a7d8b14187:0xeaaaa82bd92b212a!8m2!3d61.1833636!4d-149.8371231!16s%2Fg%2F11b6p94hh6!19sChIJh0Gx2KeXyFYRKiEr2Suoquo?authuser=0&hl=zh-CN&rclk=1,alaska behavioral health - adult outpatient clinic lake otis parkway anchorage ak 99508 9075631000 mental health behavioral health counseling therapy psychiatry psychology
T00031,Alaska Behavioral Health - Child & Family Clinic,East 40th Avenue,Anchorage,AK,99508,9075631000,https://www.google.com/maps/place/Alaska+Behavioral+Health+-+Child+%26+Family+Clinic/data=!4m7!3m6!1s0x56c897078bb5ee9d:0xd9bce4935af97d7d!8m2!3d61.1839945!4d-149.8314819!16s%2Fg%2F1tltm2w9!19sChIJne61iweXyFYRfX35WpPkvNk?authuser=0&hl=zh-CN&rclk=1,alaska behavioral health - child & family clinic east 40th avenue anchorage ak 99508 9075631000 mental health behavioral health counseling therapy psychiatry psychology
T00032,Alaska Behavioral Health - Child & Family Services and the Steven A. Cohen Military Family Clinic,Hanson Road,Fairbanks,AK,99707,9073711300,https://www.google.com/maps/place/Alaska+Behavioral+Health+-+Child+%26+Family+Services+and+the+Steven+A.+Cohen+Military+Family+Clinic/data=!4m7!3m6!1s0x5132457e8ee98697:0xc2da152ba2a9b7ea!8m2!3d64.8531941!4d-147.7743636!16s%2Fg%2F11jcr18srx!19sChIJl4bpjn5FMlER6repoisV2sI?authuser=0&hl=zh-CN&rclk=1,alaska behavioral health - child & family services and the steven a. cohen military family clinic hanson road fairbanks ak 99707 9073711300 mental health behavioral health counseling therapy psychiatry psychology
T00033,Alaska Mental Health Consumer Web,1340 Gambell Street,Anchorage,AK,99501,9072222980,https://www.google.com/maps/place/Alaska+Mental+Health+Consumer+Web/data=!4m7!3m6!1s0x56c896323a34bf75:0x2ab8fe8448ecb6a!8m2!3d61.2099972!4d-149.8713084!16s%2Fg%2F1260xrl2c!19sChIJdb80OjKWyFYRasuOROiPqwI?authuser=0&hl=zh-CN&rclk=1,alaska mental health consumer web 1340 gambell street anchorage ak 99501 9072222980 mental health behavioral health counseling therapy psychiatry psychology
T00034,Albany County Mental Health Department,South Ferry Street,City of Albany,NY,12202,5184474555,https://www.google.com/maps/place/Albany+County+Mental+Health+Department/data=!4m7!3m6!1s0x89de0a1919e85d51:0x7090e3201247a34d!8m2!3d42.64228!4d-73.7545778!16s%2Fg%2F1tj92j_r!19sChIJUV3oGRkK3okRTaNHEiDjkHA?authuser=0&hl=zh-CN&rclk=1,albany county mental health department south ferry street city of albany ny 12202 5184474555 mental health behavioral health counseling therapy psychiatry psychology
T00035,All Seasons Mental Health,6933 West Emerald Street,Boise,ID,83704,2083210634,https://www.google.com/maps/place/All+Seasons+Mental+Health/data=!4m7!3m6!1s0x54ae5612ae0e00bb:0x12bcfdd907797d81!8m2!3d43.6116582!4d-116.2683471!16s%2Fg%2F1v1skz0g!19sChIJuwAOrhJWrlQRgX15B9n9vBI?authuser=0&hl=zh-CN&rclk=1,all seasons mental health 6933 west emerald street boise id 83704 2083210634 mental health behavioral health counseling therapy psychiatry psychology
T00036,Allay Lumen Behavioral Health,121 South 2nd Street,Laramie,WY,82073,3077613311,https://www.google.com/maps/place/Allay+Lumen+Behavioral+Health/data=!4m7!3m6!1s0x87688f57d5791ac1:0xb662f7a4af49ce95!8m2!3d41.3112837!4d-105.5952334!16s%2Fg%2F11vymwmpy2!19sChIJwRp51VePaIcRlc5Jr6T3YrY?authuser=0&hl=zh-CN&rclk=1,allay lumen behavioral health 121 south 2nd street laramie wy 82073 3077613311 mental health behavioral health counseling therapy psychiatry psychology
T00037,Allegheny County Mental Health,239 Fourth Avenue,Pittsburgh,PA,15222,4124549000,https://www.google.com/maps/place/Allegheny+County+Mental+Health/data=!4m7!3m6!1s0x8834f156b5bd9937:0x51034b96424de83d!8m2!3d40.4397651!4d-80.0016935!16s%2Fg%2F1vhlyvld!19sChIJN5m9tVbxNIgRPehNQpZLA1E?authuser=0&hl=zh-CN&rclk=1,allegheny county mental health 239 fourth avenue pittsburgh pa 15222 4124549000 mental health behavioral health counseling therapy psychiatry psychology
T00038,Allevia8 Behavioral Health Clinic,3 Taggart Drive,Nashua,NH,03060,6036823639,https://www.google.com/maps/place/Allevia8+Behavioral+Health+Clinic/data=!4m7!3m6!1s0x89e3bb5d52093e55:0x5a41b0a7c1c6cd81!8m2!3d42.7171857!4d-71.442042!16s%2Fg%2F11ww_8_l01!19sChIJVT4JUl2744kRgc3GwaewQVo?authuser=0&hl=zh-CN&rclk=1,allevia8 behavioral health clinic 3 taggart drive nashua nh 03060 6036823639 mental health behavioral health counseling therapy psychiatry psychology
T00039,Alleviant Integrated Mental Health - Fayetteville,2566 East Joyce Boulevard,Fayetteville,AR,72703,4799351000,https://www.google.com/maps/place/Alleviant+Integrated+Mental+Health+-+Fayetteville/data=!4m7!3m6!1s0x87c96bfe1592a5e1:0x3ea210cd194af9ec!8m2!3d36.1211341!4d-94.1247733!16s%2Fg%2F11rvlsnx_x!19sChIJ4aWSFf5ryYcR7PlKGc0Qoj4?authuser=0&hl=zh-CN&rclk=1,alleviant integrated mental health - fayetteville 2566 east joyce boulevard fayetteville ar 72703 4799351000 mental health behavioral health counseling therapy psychiatry psychology
T00040,Alleviant Integrated Mental Health - Fort Smith,1501 South Waldron Road,Fort Smith,AR,72903,4799000976,https://www.google.com/maps/place/Alleviant+Integrated+Mental+Health+-+Fort+Smith/data=!4m7!3m6!1s0x87cbb3ea2b073f5b:0x52ace2b6d692c9dd!8m2!3d35.3673293!4d-94.3717497!16s%2Fg%2F11v64qbt5s!19sChIJWz8HK-qzy4cR3cmS1rbirFI?authuser=0&hl=zh-CN&rclk=1,alleviant integrated mental health - fort smith 1501 south waldron road fort smith ar 72903 4799000976 mental health behavioral health counseling therapy psychiatry psychology
T00041,Alleviant Integrated Mental Health - Little Rock,11415 Huron Lane,Little Rock,AR,72211,8669514325,https://www.google.com/maps/place/Alleviant+Integrated+Mental+Health+-+Little+Rock/data=!4m7!3m6!1s0x87d2a4022662b1b7:0x51fc7e54a97bc7c3!8m2!3d34.7660068!4d-92.4015232!16s%2Fg%2F11gblf33yq!19sChIJt7FiJgKk0ocRw8d7qVR-_FE?authuser=0&hl=zh-CN&rclk=1,alleviant integrated mental health - little rock 11415 huron lane little rock ar 72211 8669514325 mental health behavioral health counseling therapy psychiatry psychology
T00042,"Alleviation Behavioral Healthcare - Yong ""Cookie"" Cork, APRN-BC",4121 Southwest Twilight Drive,Topeka,KS,66614,7854305042,"https://www.google.com/maps/place/Alleviation+Behavioral+Healthcare+-+Yong+%22Cookie%22+Cork,+APRN-BC/data=!4m7!3m6!1s0x87bf1d943a1c41eb:0x4a2fd0ddefa238ad!8m2!3d39.0108461!4d-95.7277954!16s%2Fg%2F11fl5qmlt_!19sChIJ60EcOpQdv4cRrTii793QL0o?authuser=0&hl=zh-CN&rclk=1","alleviation behavioral healthcare - yong ""cookie"" cork, aprn-bc 4121 southwest twilight drive topeka ks 66614 7854305042 mental health behavioral health counseling therapy psychiatry psychology"
T00043,Alliance Behavioral Health,1 Hospital Drive Southwest,Huntsville,AL,35801,2568018937,https://www.google.com/maps/place/Alliance+Behavioral+Health/data=!4m7!3m6!1s0x88621331cf905d4f:0x157a4c7949cc3e27!8m2!3d34.6937494!4d-86.5734624!16s%2Fg%2F11hbvbfxz8!19sChIJT12QzzETYogRJz7MSXlMehU?authuser=0&hl=zh-CN&rclk=1,alliance behavioral health 1 hospital drive southwest huntsville al 35801 2568018937 mental health behavioral health counseling therapy psychiatry psychology
T00044,Alliance Mental Health Specialists,850 Mill Street,Reno,NV,89502,7753939101,https://www.google.com/maps/place/Alliance+Mental+Health+Specialists/data=!4m7!3m6!1s0x8099415476b01989:0x7dd064f4fe64ebc!8m2!3d39.5253384!4d-119.7993725!16s%2Fg%2F11h54fbc4w!19sChIJiRmwdlRBmYARvE7mT08G3Qc?authuser=0&hl=zh-CN&rclk=1,alliance mental health specialists 850 mill street reno nv 89502 7753939101 mental health behavioral health counseling therapy psychiatry psychology
T00045,Allina Health Mental Health – United Clinic,333 Smith Avenue North,Saint Paul,MN,55102,6512415959,https://www.google.com/maps/place/Allina+Health+Mental+Health+%E2%80%93+United+Clinic/data=!4m7!3m6!1s0x87f62ab70c6dc717:0xf414340ba2310793!8m2!3d44.9426106!4d-93.1070289!16s%2Fg%2F1tj744s7!19sChIJF8dtDLcq9ocRkwcxogs0FPQ?authuser=0&hl=zh-CN&rclk=1,allina health mental health – united clinic 333 smith avenue north saint paul mn 55102 6512415959 mental health behavioral health counseling therapy psychiatry psychology
T00046,Alta Vista Mental Health,South McCarran Boulevard,Reno,NV,89502,7756248200,https://www.google.com/maps/place/Alta+Vista+Mental+Health/data=!4m7!3m6!1s0x809940d2adf95c19:0x2c76af30c4573e60!8m2!3d39.4763593!4d-119.8058148!16s%2Fg%2F11b66lm8h8!19sChIJGVz5rdJAmYARYD5XxDCvdiw?authuser=0&hl=zh-CN&rclk=1,alta vista mental health south mccarran boulevard reno nv 89502 7756248200 mental health behavioral health counseling therapy psychiatry psychology
T00047,AltaPointe Health – Behavioral Health Crisis Center,2401 Gordon Smith Drive,Mobile,AL,36617,2516628000,https://www.google.com/maps/place/AltaPointe+Health+%E2%80%93+Behavioral+Health+Crisis+Center/data=!4m7!3m6!1s0x889a534f209dd80f:0x1f35414a3f336219!8m2!3d30.7044823!4d-88.0958111!16s%2Fg%2F11h7z6gvk8!19sChIJD9idIE9TmogRGWIzP0pBNR8?authuser=0&hl=zh-CN&rclk=1,altapointe health – behavioral health crisis center 2401 gordon smith drive mobile al 36617 2516628000 mental health behavioral health counseling therapy psychiatry psychology
T00048,Altapointe Health,5800 Southland Drive,Mobile,AL,36693,2514502211,https://www.google.com/maps/place/Altapointe+Health/data=!4m7!3m6!1s0x889bb34f34422195:0xa378fa895e5bc601!8m2!3d30.6243915!4d-88.1765035!16s%2Fg%2F1td7cydb!19sChIJlSFCNE-zm4gRAcZbXon6eKM?authuser=0&hl=zh-CN&rclk=1,altapointe health 5800 southland drive mobile al 36693 2514502211 mental health behavioral health counseling therapy psychiatry psychology
T00049,Alteri Behavioral Health & Suboxone Clinic,160 Crystal Drive,Frankfort,KY,40601,5026992714,https://www.google.com/maps/place/Alteri+Behavioral+Health+%26+Suboxone+Clinic/data=!4m7!3m6!1s0x884275b23bbd7ded:0xcbfaff92152a6219!8m2!3d38.1824983!4d-84.8928094!16s%2Fg%2F11rgcvwnt5!19sChIJ7X29O7J1QogRGWIqFZL_-ss?authuser=0&hl=zh-CN&rclk=1,alteri behavioral health & suboxone clinic 160 crystal drive frankfort ky 40601 5026992714 mental health behavioral health counseling therapy psychiatry psychology
T00050,American Behavioral Clinics - Bluemound Clinic,10424 West Bluemound Road,Wauwatosa,WI,53226,4147741794,https://www.google.com/maps/place/American+Behavioral+Clinics+-+Bluemound+Clinic/data=!4m7!3m6!1s0x88050504e678d48f:0xd615ad038fb20757!8m2!3d43.0351577!4d-88.0433429!16s%2Fg%2F1tdp10qv!19sChIJj9R45gQFBYgRVweyjwOtFdY?authuser=0&hl=zh-CN&rclk=1,american behavioral clinics - bluemound clinic 10424 west bluemound road wauwatosa wi 53226 4147741794 mental health behavioral health counseling therapy psychiatry psychology
T00051,"Ampersand Counseling Services, LLC",32 Elm Street,Montpelier,VT,05602,8024773290,"https://www.google.com/maps/place/Ampersand+Counseling+Services,+LLC/data=!4m7!3m6!1s0x4cb5a7a4eabb1561:0xcb64ff2325e31434!8m2!3d44.2614503!4d-72.5764516!16s%2Fg%2F11td19gtn4!19sChIJYRW76qSntUwRNBTjJSP_ZMs?authuser=0&hl=zh-CN&rclk=1","ampersand counseling services, llc 32 elm street montpelier vt 05602 8024773290 mental health behavioral health counseling therapy psychiatry psychology"
T00052,Anchor Behavioral Health,7001 Prospect Place Northeast,Albuquerque,NM,87192,5053902080,https://www.google.com/maps/place/Anchor+Behavioral+Health/data=!4m7!3m6!1s0x87220b97fef235b9:0xb117d68a17522c7!8m2!3d35.1075964!4d-106.5651919!16s%2Fg%2F11wpz8d6xp!19sChIJuTXy_pcLIocRxyJ1oWh9EQs?authuser=0&hl=zh-CN&rclk=1,anchor behavioral health 7001 prospect place northeast albuquerque nm 87192 5053902080 mental health behavioral health counseling therapy psychiatry psychology
