id,org,street,city,state,zip,context
,,,,,,"1053305607	""Robinson Clinic, Embedded Behavioral Health Team 10""	BLDG 7490 E Sutherland Cir & Provide Comfort Dr	Fort Carson	CO	809139500	US	7195265815		7195242258"
,,,,,,1386639870	535 Clinic Rd E		Box Elder	MT	595218826	US	4063954486	2011	4063954138
,,1851386163	9500 Euclid Ave #406	Cleveland Clinic Foundation	Cleveland,,OH,44195,1851386163	9500 Euclid Ave #406	Cleveland Clinic Foundation	Cleveland	OH	44195	US	2164455569
,,1154316248	1809 Adams Street	Mankato Clinic at Adams Street	Mankato,,MN,56001,1154316248	1809 Adams Street	Mankato Clinic at Adams Street	Mankato	MN	56001	US	5076257684
,,,,,,1205821121	1000 Health Center Dr		Mattoon	IL	619384644	US	2172384325		2173484290
,,,,,,1912993353	1501 San Pedro Dr SE Bldg 47	SGOMP/Pediatric Clinic	Albuquerque	NM	871085153	US	5058460001		5058536290
,,,,,,1912993155	1000 Health Center Dr		Mattoon	IL	619384644	US	2172582440		2172582186
,,,,,,1699761841	3120 Glendale Ave	Ruppert Health Center	Toledo	OH	436145811	US	4193835695		4193833031
,,,,,,1891781050	3120 Glendale Ave	Ruppert Health Center	Toledo	OH	436145811	US	4193833742		4193836244
,,,,,,1013903996	1805 Hobbs Rd	Polk County Health Department Auburndale Dental Clinic	Auburndale	FL	338234644	US	8639656333	10043
,,1457347379	Parke Clinic	503 1/2 Anderson St	Rockville,,IN,47872,1457347379	Parke Clinic	503 1/2 Anderson St	Rockville	IN	47872	US	7655693182		7655692950
,,,,,,1457347379	Parke Clinic	101 N Grant St	Cayuga	IN	479288208	US	7654923316
,,,,,,1326034018	911 Bypass Rd	6th Floor Clinic	Pikeville	KY	415011689	US	6062181000		6062187506
,,,,,,"1083601546	Kentucky Clinic Department Of Neurology	""740 South Limestone, J401""	Lexington	KY	405360001	US	8593235661"
,,,,,,1255328498	1000 N Oak Ave	Marshfield Clinic	Marshfield	WI	544495703	US	7153875511	77179	7153890644
,,,,,,"1538156880	SEMC - Addiction Medicine - MAT clinic	""736 Cambridge St, 6th FL""	Bri	MA	2135	US	6175625378"
,,1093702326	4208 B Eva Rd	Eva Health Center	Eva,,AL,35621,1093702326	4208 B Eva Rd	Eva Health Center	Eva	AL	35621	US	2567965260		2567964639
,,,,,,1871580142	1001 Health Center Dr		Mattoon	IL	619384693	US	2172582250		2172582249
,,,,,,1730177965	300 Hospital Drive	Family Medicine Clinic	Fort Gordon	GA	309055650	US	7067879355		7067879356
,,,,,,1871581918	2618 Electronic Ln	Parker College of Chiropractic - Student Clinic	Dallas	TX	752201216	US	2143527332	7541	2149023409
,,1922096940	Bldg 1 Farenholt Ave	Family Medicine Clinic	Tutuhan,,GU,96910,1922096940	Bldg 1 Farenholt Ave	Family Medicine Clinic	Tutuhan	GU	96910	US	6713449791
,,,,,,1386633287	1200 6th Ave N	CentraCare Clinic	Saint Cloud	MN	563032735	US	3202525131		3202402118
,,,,,,1215926977	16 Danforth St	Hoosick Falls Family Health Center	Hoosick Falls	NY	120901226	US	5186865002		5186861848
,,,,,,1871582171	1001 Philadelphia Ave	Atlantic Immedicare (Walk-In Clinic)	Ocean City	MD	218423735	US	4102890065		4102894639
,,,,,,1871582171	9714 Healthway Dr	Atlantic Immedicare (Walk-In Clinic)	Berlin	MD	218111154	US	4106413340		4106413341
,,,,,,1871582171	9714 Healthway Dr	Atlantic Health Center	Berlin	MD	218111154	US	4106413340		4106413341
,,,,,,"1114916285	1215 Duff Ave	""McFarland Clinic, PC""	Ames	IA	500103014	US	5152394475		5152394722"
,,,,,,1427047497	1000 Health Center Dr		Mattoon	IL	619384644	US	2172582440		2172582186
,"1265422281 1500 E. Downing- Tahlequah Extended Care ""Northeastern OK Community Health Centers, Inc.""",,Tahlequah,OK,74464,"1265422281	1500 E. Downing- Tahlequah Extended Care	""Northeastern OK Community Health Centers, Inc.""	Tahlequah	OK	74464	US	9184560011		9182070919"
,,,,,,1497744429	700 24th St	Wilkerson Pediatric Clinic	Fort Lee	VA	238011716	US	8047349125		8047349011
,,,,,,1306836168	2950 Cleveland Clinic Blvd		Weston	FL	333313609	US	9546595000
,,,,,,1326038803	300 W Hospital Rd	Podiatry Clinic	Fort Gordon	GA	309055741	US	7067870694		7067872760
,,1396735916	301 Dustoff Road	Lyster Army Health Clinic	Fort Rucker,,AL,36362,1396735916	301 Dustoff Road	Lyster Army Health Clinic	Fort Rucker	AL	36362	US	3342557387
,,,,,,1891785150	41 Mall Rd	Lahey Clinic	Burlington	MA	18050001	US	7817448132		7817442273
,,,,,,1861483752	992 Union St	Penobscot Community Health Center	Bangor	ME	44013057	US	2079922601
,,,,,,1083605588	1 Jarrett White Rd	Schofield Barracks Health Clinic	Tripler Amc	HI	968595001	US	8084336661		8084331551
,,,,,,1891776068	500 Health Center Drive	Suite 101	Mattoon	IL	619380372	US	2172383435		2172383492
,,,,,,1790766806	550 Pope Ave	Munson Army Health Center (Attn: Ms Cotton)	Fort Leavenworth	KS	660272332	US	9136846562		9136846208
,,,,,,1427039197	1007 Health Center Dr		Mattoon	IL	619384693	US	2172587400		2172587401
,,,,,,1477534808	3601 The Vanderbilt Clinic		Nashville	TN	372322179	US	6153223000
,,,,,,1992787287	150 Sargent Drive	Cornell Scott-Hill Health Center at Sargent Drive	New Haven	CT	65116100	US	2035033000		2035033224
,,,,,,1316929060	480 Central Ave	Naval Health Clinic Hawaii - Professional Affairs	Pearl Harbor	HI	968604908	US	8084732444	540	8084732473
,,,,,,1467434910	3601 The Vanderbilt Clinic		Nashville	TN	372320001	US	6153223000
,,,,,,"1467435727	480 Central Ave	""Naval Health Clinic Hawaii, BHC Kaneohe Bay""	Pearl Harbor	HI	968604908	US	8082575041	514"
,,,,,,1922080357	250 Wood Road	Naval Health Clinic US Naval Academy	Anapolis	MD	214025050	US	4102931218		4102934801
,,,,,,1861475055	Landstuhl Regional Medical Center	DWMMC Clinic	APO	AE	9180	DE	1.14964E+13
,,,,,,1003899899	Naval Health Clinic Oak Harbor 3475 N Saratoga		Oak Harbor	WA	982783129	US	3602579500
,,,,,,1225011919	8333 N Davis Hwy	West Florida Medical Center Clinic PA	Pensacola	FL	325146050	US	8504748300		8504748654
,,1669455242	161 Glen Street #101	CentraCare Quick Clinic Foley	Foley,,MN,56329,1669455242	161 Glen Street #101	CentraCare Quick Clinic Foley	Foley	MN	56329	US	3206567128		7632417338
,,,,,,1225011844	Lahey Clinic 41 Mall Raod		Burlington	MA	18056429	US	7817448100
,,,,,,1679557110	Optometry Clinic/ SGPE	18th Medical Group Unit 5267	APO	AP	963685267	US	1.18161E+13
,,,,,,1558345066	6300 Harry Hines Blvd Ste 110	PEDIATRICS PRIMARY CARE CLINIC	Dallas	TX	752355259	US	2142660100		2142660113
,,1881678969	3700 Harbor Ln	Park Nicollet Clinic-Plymouth	Plymouth,,MN,55447,1881678969	3700 Harbor Ln	Park Nicollet Clinic-Plymouth	Plymouth	MN	55447	US	9529938900		9529938955
,,,,,,1326022005	300 Lake Dr E	Park Nicollet Clinic Urgent Care	Chanhassen	MN	553179302	US	9529934300
,,,,,,1548245004	5201 Harry Hines Blvd	AMBULATORY CARE CLINIC	Dallas	TX	752357708	US	2145905512
,,,,,,"1083699102	Univ Of Ky Div Of Pulmonary Critical Care	""740 S. Limestone, L543 Ky Clinic""	Lexington	KY	405360284	US	8593239555		8592572418"
,,,,,,1851376776	1000 Cowles Clinic Way Ste E-100		Greensboro	GA	306424514	US	7066500061
,,,,,,1760467682	1000 Cowles Clinic Way Ste E-100		Greensboro	GA	306424514	US	7066500061
,,1194700864	Park Nicollet Clinic Meadowbrook	6490 Excelsior Blvd # W300	St Louis Park,,MN,55426,1194700864	Park Nicollet Clinic Meadowbrook	6490 Excelsior Blvd # W300	St Louis Park	MN	55426	US	9529933242		9529932828
,,1629054390	Park Nicollet Clinic Golden Valley	8240 Golden Valley Dr	Golden Valley,,MN,55427,1629054390	Park Nicollet Clinic Golden Valley	8240 Golden Valley Dr	Golden Valley	MN	55427	US	9529938300		9529938331
,,,,,,1306822069	41 Mall Rd.	Lahey Clinic	Burlington	MA	18050001	US	7817448743		7817445669
,,,,,,1588640015	911 By Pass Road	Clinic 9	Pikeville	KY	415011689	US	6062183500		6062184562
,,,,,,1265418735	100 MacArthur Causeway	Medical Clinic	Miami Beach	FL	331395101	US	3055354535		3055354413
,,,,,,1104801828	Furman University	Student Health Center	Greenville	SC	296130001	US	8642942180		8642943273
,,,,,,1104801828	Furman University	Student Health Center	Greenville	SC	296130001	US	8642942180		8642943273
,,1073599528	US ARMY HEALTH CLINIC BLDG 687		SCHOFIELD BARRACKS,,HI,96857,1073599528	US ARMY HEALTH CLINIC BLDG 687		SCHOFIELD BARRACKS	HI	96857	US	8084338600		8084338578
,,1013993443	US Public Health Clinic	3250 N. Pinal Parkway	Florence,,AZ,85232,1013993443	US Public Health Clinic	3250 N. Pinal Parkway	Florence	AZ	85232	US	5208688446		5208681547
,,,,,,1306822432	1525 Elm Street	Elm Street Health Center	Cincinnati	OH	452026957	US	5133523092		5133521429
,"1245217447	""US Army Dental Clinic, CP Humphreys""	618th Dental Co Unit #",15660	APO,"CP Humphreys""	618th Dental Co Unit #15660	APO",AP,96271,"1245217447	""US Army Dental Clinic, CP Humphreys""	618th Dental Co Unit #15660	APO	AP	96271	KR	7536573"
,,,,,,1396723714	555 Willard Ave	VA Connecticut Health Care System Dermatology Clinic	Newington	CT	61112631	US	8606676790
,,1326026659	Tricare Prime Suffolk Clinic	7021 Harbour View Blvd #119	Suffolk,,VA,23435,1326026659	Tricare Prime Suffolk Clinic	7021 Harbour View Blvd #119	Suffolk	VA	23435	US	7579537000
,,,,,,1972581171	3601 The Vanderbilt Clinic		Nashville	TN	372320001	US	6153223000
,,,,,,1831178870	1809 Adams St	Mankato Clinic at Adams Street	Mankato	MN	560014841	US	5076251811
,,,,,,1609855659	1230 E Main St	Mankato Clinic at Main Street	Mankato	MN	560015066	US	5076251811
,,,,,,1770562480	9377 N US Highway 301	Cummins Health Center	Whitakers	NC	278918621	US	2524379211
,,,,,,1518946318	400 E 3rd St	Essentia Health Duluth Clinic	Duluth	MN	558051951	US	2187863520
,,,,,,1801875448	4755 Pasture Rd	Naval Branch Health Clinic NAS Fallon	Fallon	NV	894960001	US	7754263100		7754273133
,,,,,,1871572321	1441 Bellevue St	Bellevue Chiropractic Clinic	Green Bay	WI	543115605	US	9204657772		9204689785
,,,,,,1265411599	480 Central Ave	Naval Health Clinic Hawaii	Pearl Harbor	HI	968604908	US	8084711866
,,,,,,1699754028	86th Medical Group Bldg 301	Dental Clinic	APO	AE	9094	US	6371462113
,,,,,,1144209339	1000 Health Center Dr		Mattoon	IL	619384644	US	2172386247		2172584175
,,,,,,1609855733	14999 Health Center Dr Ste 201A		Bowie	MD	207161074	US	3015521200
,,,,,,1801876776	610 30th Ave W	Alexandria Clinic	Alexandria	MN	563083426	US	3207635123		3207637883
,,1588644454	610 30th Avenue West	Alexandria Clinic	Alexandria,,MN,56308,1588644454	610 30th Avenue West	Alexandria Clinic	Alexandria	MN	56308	US	3207635123		3207637883
,"1164402707	""Billings Clinic, Bozeman""",3905 Wellness Way	Bozman,"Bozeman""	3905 Wellness Way	Bozman",MT,59718,"1164402707	""Billings Clinic, Bozeman""	3905 Wellness Way	Bozman	MT	59718	US	4068981650		4068981659"
,,,,,,1588644157	101 Clinic Dr		Tarboro	NC	278861935	US	2528232105
,,,,,,1578543138	B163 Ky Clinic	University of Kentucky Health Service	Lexington	KY	405360001	US	8593235823	225	8593231119
,,,,,,1821068875	1000 Health Center Dr		Mattoon	IL	619384644	US	2172582440		2172582186
,,,,,,1245200195	2 Old Country Rd	East Bay Mental Health Center	Barrington	RI	2806	US	4012461195		4012461985
,,,,,,1558332718	1264 Tamu	A.P. Beutel Health Center	College Station	TX	778431264	US	9794588300		9794588319
,,,,,,1710958483	6655 S Yale Ave	Laureate Psychiatric Clinic and Hospital	Tulsa	OK	741363326	US	9184913975		9184915740
,,,,,,1528030731	2950 Cleveland Clinic Blvd		Weston	FL	333313609	US	9546595000
,,,,,,1972574325	39184 State St	Tri-City Health Center	Fremont	CA	945381436	US	5107136690		5107391239
,,,,,,1780656884	41 Park Creek Dr	c/o GREENVILLE VA EYE CLINIC	Greenville	SC	296054270	US	8642991600	2713	8644222965
,,,,,,1780656884	41 Park Creek Dr	c/o GREENVILLE VA EYE CLINIC	Greenville	SC	296054270	US	8642991600	2713	8644222965
,,,,,,"1801868849	""250 Pleasant St,""	Concord Hospital Family Health Center	Concord	NH	33017539	US	6032287200		6032277562"
,,,,,,1184696239	Marshfield Clinic Weston Center	3400 Ministry Pkwy	Weston	WI	544765213	US	7153931000
,"1952373045 4602 N. Bartlett ""VA, Clinic""",,Laredo,TX,78041,"1952373045	4602 N. Bartlett	""VA, Clinic""	Laredo	TX	78041	US	9565237850		9565237865"
,,1316919152	9789 CR 35	Houghton College Health Center	Houghton,,NY,14744,1316919152	9789 CR 35	Houghton College Health Center	Houghton	NY	14744	US	5855679483		5855674303
,,1720050297	519 F Avenue	Nevada Medical Clinic	Nevada,,IA,50201,1720050297	519 F Avenue	Nevada Medical Clinic	Nevada	IA	50201	US	5153825413		5153827173
,,1255304762	1000 1st Drive NW	Mayo Clinic Health System	Austin,,MN,55912,1255304762	1000 1st Drive NW	Mayo Clinic Health System	Austin	MN	55912	US	5074337351
,,1639142011	109 N CHESTNUT BOX 77	THE ONARGA CLINIC	ONARGA,,IL,60955,1639142011	109 N CHESTNUT BOX 77	THE ONARGA CLINIC	ONARGA	IL	60955	US	8152684840		8152684845
,,,,,,1558334623	751 S Bascom Ave	Urgent Care Clinic	San Jose	CA	951282604	US	4088855000
,,,,,,1124091301	500 Clinic Dr		Hopkinsville	KY	422404991	US	2707073300		2707073334
,,,,,,1922071083	1975 Willow Dr	University of Wisconsin Speech and Hearing Clinic	Madison	WI	537061103	US	6082635804
,,,,,,1457324329	Marshfield Clinic Eau Claire Center	2116 Craig Rd	Eau Claire	WI	547016149	US	7158584500
,,,,,,1053384784	15290 Pennock Ln - Mail Stop 32200A	Health Partners Apple Valley Clinic	Apple Valley	MN	551247163	US	9524318500		9524316966
,,,,,,"1740254168	3601 5th Ave	""Falk Clinic, Suite 2B""	Pittsburgh	PA	152133403	US	4125869700"
,,1427022110	2525 Chicago Ave S	Childrens Primary Clinic Mpls	Minneapolis,,MN,55404,1427022110	2525 Chicago Ave S	Childrens Primary Clinic Mpls	Minneapolis	MN	55404	US	6128136107		6128137473
,,1164498986	500 S. Fayetteville St.	Tri-County Community Health Council Inc.	Salemburg,,NC,28385,1164498986	500 S. Fayetteville St.	Tri-County Community Health Council Inc.	Salemburg	NC	28385	US	9103663041
,,,,,,1245206705	24411 Health Center Dr Ste 520		Laguna Hills	CA	926533633	US	9494523841		9498598937
,,1417923863	2445 Army Navy Drive	The Anderson Clinic	Arlington,,VA,22206,1417923863	2445 Army Navy Drive	The Anderson Clinic	Arlington	VA	22206	US	7038926500		7038921550
,,,,,,1205802485	650 Huebner Rd	Irwin Army Community Hospital- General Surgery Clinic	Fort Riley	KS	664424030	US	7854736323
,,,,,,1639145741	66 Lake Concord Rd NE	CABARRUS PEDIATRIC CLINIC	Concord	NC	280253057	US	7047861144		7047881916
,,,,,,1366419251	374 Grand Ave	Fair Haven Community Health Center	New Haven	CT	6513	US	2037777411		2037778506
,,,,,,1043287832	The Emory Clinic	1365 Clifton Road	Atlanta	GA	303220001	US	4047783204		4047783204
,,1235106758	1717 So J St St Joseph Medical Center	Hyperbaric Unit & Wound Clinic	Tacoma,,WA,98405,1235106758	1717 So J St St Joseph Medical Center	Hyperbaric Unit & Wound Clinic	Tacoma	WA	98405	US	2534266630		2534266545
,,,,,,1134196512	445 Putnam Pike	Affordable Dentures-Providence	Greenville	RI	28282430	US	4012314407		4012314417
,,,,,,1326015405	Cleveland Clinic Main Campus	Mail Code A90	Cleveland	OH	441950001	US	2164448335
,,1386611481	7490 Sutherland Cir	Robinson Medical Clinic	Fort Carson,,CO,80913,1386611481	7490 Sutherland Cir	Robinson Medical Clinic	Fort Carson	CO	80913	US	7195242231
,,,,,,"1629046677	""Valley Medical Group, P.C.-Northampton Health Center""	70 Main St	Florence	MA	1062	US	4135868400		8666440872"
,,,,,,1144298167	Marshfield Clinic	1000 N Oak Avenue	Marshfield	WI	544495703	US	7153875511
,,,,,,1417924481	357 Third Ave		Clear Lake Clinic	WI	540050177	US	7152688000
,,1669440996	8950 Renner Blvd	Tower 1 Perceptive Software Health Center	Lenexa,,KS,66219,1669440996	8950 Renner Blvd	Tower 1 Perceptive Software Health Center	Lenexa	KS	66219	US	9132276002
,,1669440996	8950 Renner Blvd	Tower 1 Perceptive Software Health Center	Lenexa,,KS,66219,1669440996	8950 Renner Blvd	Tower 1 Perceptive Software Health Center	Lenexa	KS	66219	US	9132276002
,,1568430759	Kirk U.S. Army Health Clinic	2501 Oakington ST	Aberdeen Proving Ground,,MD,21005,1568430759	Kirk U.S. Army Health Clinic	2501 Oakington ST	Aberdeen Proving Ground	MD	21005	US	4102781724
,,1871562884	360 Snediker Ave	Brownsville Multi-Service Health Center @Genesis	Brooklyn,,NY,11207,1871562884	360 Snediker Ave	Brownsville Multi-Service Health Center @Genesis	Brooklyn	NY	11207	US	6464599400
,,,,,,1306815477	3075 Health Center Dr	Suite 102	San Diego	CA	921232773	US	8586377888		8586377887
,,,,,,1487623021	1000 Health Center Dr		Mattoon	IL	619384644	US	2172582440		2172582186
,,1104885391	2220 Riverside Ave	HealthPartners Riverside Urgent Care Clinic	Minneapolis,,MN,55454,1104885391	2220 Riverside Ave	HealthPartners Riverside Urgent Care Clinic	Minneapolis	MN	55454	US	9528538800		6123711732
,,,,,,1164491379	3601 The Vanderbilt Clinic		Nashville	TN	372326440	US	6153223000
,,1144289851	c/o Manzano del Sol Health Center	5201 Roma Ave NE	Albuquerque,,NM,87108,1144289851	c/o Manzano del Sol Health Center	5201 Roma Ave NE	Albuquerque	NM	87108	US	5058581222		8188613324
,,1578522009	347 North Smith Avenue	Childrens specialty Clinic Diabetes Endocrinology Stpl	St Paul,,MN,55102,1578522009	347 North Smith Avenue	Childrens specialty Clinic Diabetes Endocrinology Stpl	St Paul	MN	55102	US	6512206818		6512206064
,,,,,,"1639138985	238 Northampton St	""Valley Medical Group, P.C.-Easthampton Health Center""	Easthampton	MA	1027	US	4135299300		8666440870"
,,,,,,"1639138985	70 Main St	""Valley Medical Group, P.C.-Northampton Health Center""	Florence	MA	1062	US	4135868400		8666440872"
,,,,,,"1639138985	329 Conway St	""Valley Medical Group, P.C.-Greenfield Health Center""	Greenfield	MA	1301	US	4137746301		8666440871"
,,1982664199	38080 West SR 35		Tabiona Clinic,,UT,84072,1982664199	38080 West SR 35		Tabiona Clinic	UT	84072	US	4358485509		4358485507
,,,,,,1992765747	3250 Zemke Ave	ATTN: SOCCENT Clinic	Tampa	FL	336215023	US	8138279213		8138271319
,,,,,,1619937216	2950 Cleveland Clinic Blvd		Weston	FL	333313609	US	9546595000		9546595787
,,,,,,1740241736	16 Hayden Avenue	Lahey Clinic	Lexington	MA	2421	US	7813727194
,,,,,,"1417918004	8901 Rockville Pike	""Pulmonary Clinic, Bldg 9, floor 1""	Bethesda	MD	208890001	US	3012954191"
,,1487615969	347 North Smith Avenue	Childrens Specialty Clinic Diabetes Endocrinology Stpl	St Paul,,MN,55102,1487615969	347 North Smith Avenue	Childrens Specialty Clinic Diabetes Endocrinology Stpl	St Paul	MN	55102	US	6512206818		6512206064
,,,,,,1518929801	120 S Tan Aly Ste 1	Fredericksburg Community Health Center PC	Fredericksburg	PA	170269349	US	7178656644		7178657321
,,,,,,1265494116	2950 Cleveland Clinic Blvd		Weston	FL	333313609	US	9546595000		9546895047
,,,,,,1699738237	1993 McKee Rd	EVC Pediatric Clinic	San Jose	CA	951161406	US	4082546320
,,,,,,1770546335	3601 The Vanderbilt Clinic		Nashville	TN	372320001	US	6153223000
,,,,,,1942263199	559 Vincent St	Attn: 21 DS/ SGDD - Dental Clinic	Peterson AFB	CO	809141541	US	7195561333		7195561331
,,,,,,"1194788364	800 South Limestone Street	""E-313 Kentucky Clinic, University of Kentucky""	Lexington	KY	405360001	US	8593235867	265"
,,,,,,1588627236	2401 W Belvedere Ave	Blaustein Women's Health Center	Baltimore	MD	212155216	US	4106018373		4106019444
,,,,,,1316900038	750 S Bascom Ave	OB/GYN Clinic	San Jose	CA	951282603	US	4088855550
,,1679537393	916 Kentucky Ave	Paducah-McCracken County Health Center	Paducah,,KY,42001,1679537393	916 Kentucky Ave	Paducah-McCracken County Health Center	Paducah	KY	42001	US	2704449631		2704428769
,,,,,,"1407810021	70 Main St	""Valley Medical Group, P. C.-Northampton Health Center""	Florence	MA	1062	US	4135868400		8666440872"
,,,,,,1386608768	3601 The Vanderbilt Clinic		Nashville	TN	372321852	US	6153223000		6159360605
,,,,,,1124083894	N4390 Crossroads Clinic Rd		Oxford	WI	539529465	US	6085895333		6085895388
,,,,,,1982669503	300 W Hospital Rd	Pulmonary/Sleep Disorders Clinic	Fort Gordon	GA	309055741	US	7067872252
,,1841255932	UK Surgery Clinic - General	740 S Limestone Ste L104	Lexington,,KY,40536,1841255932	UK Surgery Clinic - General	740 S Limestone Ste L104	Lexington	KY	40536	US	8592573253		8592577603
,,1023074655	347 North Smith Avenue	Childrens Specialty Clinic - NICU	St Paul,,MN,55102,1023074655	347 North Smith Avenue	Childrens Specialty Clinic - NICU	St Paul	MN	55102	US	6512206210		6512207777
,,,,,,1124084579	1993 McKee Rd	VHC EVC Internal Medicine Clinic	San Jose	CA	951161406	US	4082546332
,,,,,,1124084355	Ben Franklin Village Unit 29920	Mannheim Health Clinic	Apo	AE	9042	DE	4.96221E+11		4.96221E+11
,,,,,,1851358774	1000 Health Center Dr		Mattoon	IL	619384644	US	2172584096		2172385485
,,,,,,1437116977	3601 The Vanderbilt Clinic		Nashville	TN	372320001	US	6153223000		6159360605
,,,,,,1326005935	1313 Fish Hatchery Rd	Dean Clinic	Madison	WI	537151911	US	6082528000		6082528245
,,,,,,1346207818	2950 Cleveland Clinic Blvd		Weston	FL	333313609	US	9546595646		9546595647
,,1326005653	40520 CO Hwy 34	White Earth Health Center	Ogema,,MN,56569,1326005653	40520 CO Hwy 34	White Earth Health Center	Ogema	MN	56569	US	2189834300		2189836217
,,1770540007	899 Main Street	William E Mosher Health Center	Buffalo,,NY,14203,1770540007	899 Main Street	William E Mosher Health Center	Buffalo	NY	14203	US	7168782700		7165045544
,,1992762256	PATTERSON HEALTH CENTER	HOSPITAL DISTRICT#6 // 485 N KS HWY 2	ANTHONY,,KS,67003,1992762256	PATTERSON HEALTH CENTER	HOSPITAL DISTRICT#6 // 485 N KS HWY 2	ANTHONY	KS	67003	US	6209141200
,,,,,,1528025715	3601 The Vanderbilt Clinic		Nashville	TN	372320001	US	6153223000		6159360605
,,1649237736	920 Lark Dr	Whitney M. Young Jr. Health Center	Albany,,NY,12207,1649237736	920 Lark Dr	Whitney M. Young Jr. Health Center	Albany	NY	12207	US	5184654771		5182424784
,,,,,,1093773335	1821 S Stoughton Rd	Dean Clinic	Madison	WI	537162257	US	6082606000		6082606939
,"1629036934 El Rio Abrams Clinic ""3950 S Country Club Road, Suite 130""",,Tucson,AZ,85714,"1629036934	El Rio Abrams Clinic	""3950 S Country Club Road, Suite 130""	Tucson	AZ	85714	US	5206703909		5203092560"
,,,,,,1528016318	24411 Health Center Dr Ste 320		Laguna Hills	CA	926533633	US	9493802670		9493800907
,,,,,,1578511002	690 Barnes Blvd McChord Clinic		Tacoma	WA	984381100	US	1866607733
,,,,,,"1790734721	Beaumont Urology Resident Clinic	""3535 W 13 Mile Road, Ste. 404""	Royal Oak	MI	480736770	US	2485513535		2485513311"
,,,,,,1801845623	777 W State St	Suite 201 Lower Lights Christian Health Center	Columbus	OH	432221536	US	6142741455	200	6142742040
,,,,,,1811947039	1 Jarrett White Rd	Tripler Army Medical Center OB/GYN clinic	Tripler Amc	HI	968595001	US	8084332778	7
,,1427008259	400 E 3rd St	Duluth Clinic	Duluth,,MN,55805,1427008259	400 E 3rd St	Duluth Clinic	Duluth	MN	55805	US	2187868364
