org,street,city,state,zip,affordable,score
" NEIGHBORHOOD HEALTH CENTER ""7320 SW Hunziker Rd, Ste 300""",,Portland,OR,97223-2302,True,1
" ""UNIVERSITY COMMUNITY HEALTH SERVICES, INC.""",601 Benton Ave Nashville,"INC."" 601 Benton Ave Nashville",TN,37204-2303,True,1
, EAST JORDAN FAMILY HEALTH CENTER 601 Bridge St East Jordan,,MI,49727-9383,True,1
" ""COMMUNITY HEALTH CARE CENTER, INCORPORATED""",601 1st Ave N Great Falls,"INCORPORATED"" 601 1st Ave N Great Falls",MT,59401-2510,True,1
" ""BRONX COMMUNITY HEALTH NETWORK, INC.""",1 Fordham Plz Bronx,"INC."" 1 Fordham Plz Bronx",NY,10458-5871,True,1
, WILMINGTON COMMUNITY CLINIC 1009 N Avalon Blvd Wilmington,,CA,90744-4505,True,1
, PANHANDLE COUNSELING AND HEALTH CENTER INC 1309 N East St Guymon,,OK,73942-3333,True,1
" ""COMMUNITY HEALTH CENTER, INCORPORATED""",635 Main St Middletown,"INCORPORATED"" 635 Main St Middletown",CT,06457-2718,True,1
, LAWNDALE CHRISTIAN HEALTH CENTER 3860 West Ogden Avenue Chicago,,IL,60623-2460,True,1
, KO'OLAULOA HEALTH CENTER 56-119 Pualalea St Kahuku,,HI,96731-,True,1
" ""THE C.W. WILLIAMS COMMUNITY HEALTH CENTER, INC.""",3333 Wilkinson Blvd Charlotte,"INC."" 3333 Wilkinson Blvd Charlotte",NC,28208-5631,True,1
, ALL-INCLUSIVE COMMUNITY HEALTH CENTER 1311 N San Fernando Blvd Burbank,,CA,91504-4236,True,1
, SUN LIFE FAMILY HEALTH CENTER INC 865 North Arizola Road Casa Grande,,AZ,85122-6011,True,1
" ""SOUTHWEST COLORADO MENTAL HEALTH CENTER, INC""",150 Mercury Village Dr Durango,"INC"" 150 Mercury Village Dr Durango",CO,81301-8955,True,1
" CRESCENT COMMUNITY HEALTH CENTER ""1690 Elm St, Ste 300""",,Dubuque,IA,52001-3679,True,1
" ""Aurora Comprehensive Community Mental Health Center, Inc.""",1290 N Chambers Rd Aurora,"Inc."" 1290 N Chambers Rd Aurora",CO,80011-7117,True,1
" ""TIBURCIO VASQUEZ HEALTH CENTER, INCORPORATED""",22331 Mission Blvd Hayward,"INCORPORATED"" 22331 Mission Blvd Hayward",CA,94541-3911,True,1
, CHRISTIAN COMMUNITY HEALTH CENTER 9718 South Halsted Street Chicago,,IL,60628-1007,True,1
, JESSIE TRICE COMMUNITY HEALTH SYSTEM INC 5607 Nw 27Th Ave Miami,,FL,33142-2826,True,1
, NATIVE AMERICAN COMMUNITY CLINIC 1213 E Franklin Ave Minneapolis,,MN,55404-2923,True,1
" ""BEN ARCHER HEALTH CENTER, INC.""",255 Highway 187 Hatch,"INC."" 255 Highway 187 Hatch",NM,87937-7001,True,1
, METROPOLITAN COMMUNITY HEALTH SERVICES INC 101 South Market Street Washington,,NC,27889-4952,True,1
, POMONA COMMUNITY HEALTH CENTER 1450 East Holt Avenue Pomona,,CA,91767-5822,True,1
" ""PETALUMA HEALTH CENTER, INC.""",1179 N McDowell Blvd Petaluma,"INC."" 1179 N McDowell Blvd Petaluma",CA,94954-6559,True,1
, MORRIS HEIGHTS HEALTH CENTER INC 85 W Burnside Ave Bronx,,NY,10453-4015,True,1
" ""MIDTOWN HEALTH CENTER, INC.""",302 W Phillip Ave Norfolk,"INC."" 302 W Phillip Ave Norfolk",NE,68701-5248,True,1
, PENINSULA COMMUNITY HEALTH SERVICES 400 Warren Ave STE 200 Bremerton,,WA,98337-1467,True,1
, FOUR COUNTY COMPREHENSIVE MENTAL HEALTH CENTER INC 401 E 8th St Rochester,,IN,46975-1443,True,1
" ""COMMUNITY HEALTH PARTNERSHIP, INC""",408 N Capitol Ave San Jose,"INC"" 408 N Capitol Ave San Jose",CA,95133-,True,1
, COMMUNITY HEALTH ALLIANCE 680 S Rock Blvd Reno,,NV,89502-4113,True,1
, FAIRFIELD COMMUNITY HEALTH CENTER 220 E Walnut St Lancaster,,OH,43130-4464,True,1
, PUEBLO COMMUNITY HEALTH CENTER 310 Colorado Ave Pueblo,,CO,81004-,True,1
" ""ROANOKE CHOWAN COMMUNITY HEALTH CENTERS, INC.""",120 Health Center Drive Ahoskie,"INC."" 120 Health Center Drive Ahoskie",NC,27910-8161,True,1
" ""FAMILY HEALTH CENTER OF MARSHFIELD, INC.""",1307 N Saint Joseph Ave Marshfield,"INC."" 1307 N Saint Joseph Ave Marshfield",WI,54449-1340,True,1
, SHARP MARY BIRCH HOSPITAL FOR WOMEN AND NEWBORNS 3003 Health Center Dr San Diego,,CA,92123-2700,True,1
, GANDARA MENTAL HEALTH CENTER INC 933 E Columbus Ave Springfield,,MA,01105-2509,True,1
" ""Western North Carolina Community Health Services, Inc""",257 Biltmore Avenue Asheville,"Inc"" 257 Biltmore Avenue Asheville",NC,28801-4120,True,1
" GRACE COMMUNITY HEALTH CENTER ""1019 Cumberland Falls Hwy, Ste B201""",,Corbin,KY,40701-2793,True,1
, GREATER SEACOAST COMMUNITY HEALTH 311 Route 108 Somersworth,,NH,03878-6599,True,1
" ""BROCKTON NEIGHBORHOOD HEALTH CENTER, INC.""",63 Main Street Brockton,"INC."" 63 Main Street Brockton",MA,02301-4042,True,1
, HOPEWELL HEALTH CENTERS INC. 1049 Western Ave Chillicothe,,OH,45601-1104,True,1
, COMMUNITY HEALTH & WELLNESS PA 4879 US Highway 68 S West Liberty,,OH,43357-9525,True,1
" ""REDWOODS RURAL HEALTH CENTER, INCORPORATED""",101 W Coast Rd Redway,"INCORPORATED"" 101 W Coast Rd Redway",CA,95560,True,1
" BANDON COMMUNITY HEALTH CENTER ""1010 1st St SE, Ste 110""",,Bandon,OR,97411-9301,True,1
, WAIMANALO HEALTH CENTER 41-1347 Kalanianaole Hwy Waimanalo,,HI,96795-1247,True,1
, First Nations Community Health Source Inc 5608 Zuni Rd SE Albuquerque,,NM,87108-2926,True,1
" ""Christ Health Center, Inc.""",5720 1st Ave S Birmingham,"Inc."" 5720 1st Ave S Birmingham",AL,35212-2599,True,1
" ""E. A. HAWSE HEALTH CENTER, INC.""",17978 State Road 55 Baker,"INC."" 17978 State Road 55 Baker",WV,26801-8626,True,1
, MID-STATE HEALTH CENTER 101 Boulder Point Dr Plymouth,,NH,03264-3170,True,1
, WEST CECIL HEALTH CENTER INC 49 Rock Springs Rd Conowingo,,MD,21918-1352,True,1
, COMMUNITY HEALTH CENTER OF SOUTHEAST KANSAS INC 3011 N Michigan St Pittsburg,,KS,66762-2546,True,1
, COMMUNITY HEALTH & EMERGENCY SERVICES INC 1250 Cedar Ct Carbondale,,IL,62901-5334,True,1
, GREAT LAKES BAY HEALTH CENTERS 501 Lapeer Ave Saginaw,,MI,48607-1255,True,1
, CASCADE COMMUNITY HEALTHCARE 2428 W Reynolds Ave Centralia,,WA,98531,True,1
" ""CENTRAL FLORIDA FAMILY HEALTH CENTER, INC.""",4930 East Lake Mary Boulevard Sanford,"INC."" 4930 East Lake Mary Boulevard Sanford",FL,32771-5003,True,1
" ""HENRY J. AUSTIN HEALTH CENTER, INC.""",321 N Warren St Trenton,"INC."" 321 N Warren St Trenton",NJ,08618-4794,True,1
, BANYAN COMMUNITY HEALTH CENTER INC 2300 NW 89th Pl Doral,,FL,33172-2431,True,1
, RIVERSIDE COMMUNITY HEALTH FOUNDATION 4275 Lemon St Riverside,,CA,92501-3844,True,1
" ""CARING HEALTH CENTER, INC.""",1049 Main Street Springfield,"INC."" 1049 Main Street Springfield",MA,01103-2114,True,1
, VISTA COMMUNITY CLINIC 1000 Vale Terrace Dr Vista,,CA,92084-5297,True,1
" ""FOOTHILLS COMMUNITY HEALTH CARE, INC.""",110 Liberty Dr Clemson,"INC."" 110 Liberty Dr Clemson",SC,29631-3157,True,1
, WHITNEY M YOUNG JR HEALTH CENTER INC 920 Lark Dr Albany,,NY,12207-1398,True,1
, SACRAMENTO NATIVE AMERICAN HEALTH CENTER INC J St Sacramento,,CA,95811-3120,True,1
" ""SAMUEL U. RODGERS HEALTH CENTER, INC""",825 Euclid Ave Kansas City,"INC"" 825 Euclid Ave Kansas City",MO,64124-2398,True,1
, LEGACY EMANUEL HOSPITAL & HEALTH CENTER 2801 N Gantenbein Ave Portland,,OR,97227-1623,True,1
" ""LOWELL COMMUNITY HEALTH CENTER, INC.""",161 Jackson Street Lowell,"INC."" 161 Jackson Street Lowell",MA,01852-2103,True,1
, ASHER COMMUNITY HEALTH CENTER 712 Jay St Fossil,,OR,97830-8371,True,1
, BAY AREA COMMUNITY HEALTH 40910 Fremont Blvd Fremont,,CA,94538-4375,True,1
, MENDOCINO COMMUNITY HEALTH CLINIC INC 333 Laws Ave Ukiah,,CA,95482-6540,True,1
, ROCKBRIDGE AREA FREE CLINIC 25 Northridge Ln Lexington,,VA,24450-3399,True,1
" ""NEW HANOVER COMMUNITY HEALTH CENTER, INCORPORATED""",925 North 4th Street Wilmington,"INCORPORATED"" 925 North 4th Street Wilmington",NC,28401-3450,True,1
, LANAI COMMUNITY HEALTH CENTER 333 6th St Lanai City,,HI,96763,True,1
, SAN FRANCISCO COMMUNITY CLINIC CONSORTIUM 170C Capp St San Francisco,,CA,94110-1210,True,1
, NEWARK COMMUNITY HEALTH CENTERS INC 741 Broadway Newark,,NJ,07104-4309,True,1
, PREMIER COMMUNITY HEALTHCARE GROUP INC 37912 Church Ave Dade City,,FL,33525-4207,True,1
" ""EDWARD M KENNEDY COMMUNITY HEALTH CENTER, INC""",115 Northeast Cutoff Worcester,"INC"" 115 Northeast Cutoff Worcester",MA,01606-1224,True,1
" ""SUNSET COMMUNITY HEALTH CENTER, INC.""",115 North Somerton Avenue Somerton,"INC."" 115 North Somerton Avenue Somerton",AZ,85350,True,1
, ERIE FAMILY HEALTH CENTER 1701 West Superior Street Chicago,,IL,60622-5646,True,1
" ""NORTH CENTRAL IOWA MENTAL HEALTH CENTER, INCORPORA""",720 Kenyon Rd Fort Dodge,"INCORPORA"" 720 Kenyon Rd Fort Dodge",IA,50501-5787,True,1
" ZUFALL HEALTH CENTER ""18 W Blackwell St, Ste 1""",,Dover,NJ,07801-3841,True,1
" ""FAMILY HEALTH CENTERS OF SOUTHWEST FLORIDA, INC""", Victoria Ave Fort Myers,"INC"" Victoria Ave Fort Myers",FL,33901-3414,True,1
" ""DELTA HEALTH CENTER, INC.""",702 Martin Luther King St Mound Bayou,"INC."" 702 Martin Luther King St Mound Bayou",MS,38762,True,1
, LOUDOUN COMMUNITY HEALTH CENTER 163 Fort Evans Rd NE Leesburg,,VA,20176-4420,True,1
" ""CHARLOTTE COMMUNITY HEALTH CLINIC, INC."" ""8401 Medical Plaza Dr, Ste 300""",,Charlotte,NC,28262-8702,True,1
, INDIANA HEALTH CENTERS INCORPORATED 8003 Castleway Dr Indianapolis,,IN,46250-,True,1
" ""EAST ARKANSAS FAMILY HEALTH CENTER, INC.""",900 N 7th St West Memphis,"INC."" 900 N 7th St West Memphis",AR,72301-,True,1
, CHIRICAHUA COMMUNITY HEALTH CENTERS INC 10566 N Highway 191 Elfrida,,AZ,85610-9021,True,1
, CHRIST COMMUNITY HEALTH SERVICES INC 2595 Central Ave Memphis,,TN,38104-5905,True,1
" ""SOUTH BOSTON COMMUNITY HEALTH CENTER, INC.""",409 West Broadway South Boston,"INC."" 409 West Broadway South Boston",MA,02127-2249,True,1
, SOUTHSIDE COMMUNITY HEALTH SERVICES INC 4243 4th Ave S Minneapolis,,MN,55409-2198,True,1
, JEFFERSON COMPREHENSIVE HEALTH CENTER INC 405 Main St Fayette,,MS,39069-5576,True,1
, COMMUNITY HEALTH CLINICS INC 211 16th Ave N Nampa,,ID,83687-4058,True,1
, COMMUNITY HEALTH CENTERS OF GREATER DAYTON 1323 W 3rd St Dayton,,OH,45402-6714,True,1
, Wayne Memorial Community Health Centers 601 Park St Honesdale,,PA,18431-1498,True,1
, NEIGHBORHOOD HEALTH CENTER INC 101 S 10th St Richmond,,IN,47374-5547,True,1
" ""DIVERSITY HEALTH CENTER, INC.""",301 Fraser Dr Hinesville,"INC."" 301 Fraser Dr Hinesville",GA,31313-3750,True,1
, COMMUNITY HEALTH CENTER OF LUBBOCK 1610 5th St Lubbock,,TX,79401-2622,True,1
, COMMUNITY HEALTH CENTER OF SNOHOMISH COUNTY 8609 Evergreen Way Everett,,WA,98208-2619,True,1
, WESTERN WAYNE FAMILY HEALTH CENTERS 2700 Hamlin Blvd Inkster,,MI,48141-2206,True,1
, VIA CARE COMMUNITY HEALTH CENTER 507 S Atlantic Blvd Los Angeles,,CA,90022-2621,True,1
, ATHENS MODEL NEIGHBORHOOD HEALTH CENTER INC 675 College Ave Athens,,GA,30601-2635,True,1
, GREATER NEW BEDFORD COMMUNITY HEALTH CENTER INC 874 Purchase Street New Bedford,,MA,02740-6232,True,1
" ""MINNESOTA ASSOCIATION OF COMMUNITY HEALTH CENTERS, INC.""",2550 University Ave W Saint Paul,"INC."" 2550 University Ave W Saint Paul",MN,55114-1052,True,1
" COMMUNITY HEALTH CENTER ASSOCIATION OF MISSISSIPPI ""6400 Lakeover Rd, Ste A""",,Jackson,MS,39213-8020,True,1
" ""LOS ANGELES FREE CLINIC., THE""",8405 West Beverly Boulevard Los Angeles,"THE"" 8405 West Beverly Boulevard Los Angeles",CA,90048,True,1
" ""JEFFERSON COMMUNITY HEALTH CARE CENTERS, INC""",4028 Highway 90 W Westwego,"INC"" 4028 Highway 90 W Westwego",LA,70094-2622,True,1
" COMMUNITY HEALTH CARE ""1148 Broadway, Suite 100""",,Tacoma,WA,98402-3518,True,1
, HEART OF OHIO FAMILY HEALTH CENTER 5000 E Main St Columbus,,OH,43213-2440,True,1
, SPOKANE TEACHING HEALTH CENTER 624 E Front Ave Spokane,,WA,99202-2139,True,1
, SONOMA VALLEY COMMUNITY HEALTH CENTER 19270 Sonoma Hwy Sonoma,,CA,95476-5414,True,1
" ""SEWARD COMMUNITY HEALTH CENTER, INC.""",417 First Ave Seward,"INC."" 417 First Ave Seward",AK,99664-4303,True,1
, UNIVERSAL COMMUNITY HEALTH CENTER 1005 E Washington Blvd Los Angeles,,CA,90021-3068,True,1
, THUNDERMIST HEALTH CENTER 171 Service Ave Warwick,,RI,02886-1014,True,1
, RHODE ISLAND HEALTH CENTER ASSOCIATION 235 Promenade St RM 455 Providence,,RI,02908-5765,True,1
, SOUTHLAKE COMMUNITY MENTAL HEALTH CENTER INC 8555 Taft St Merrillville,,IN,46410-6123,True,1
" ""COMMUNITY CLINIC OF MAUI, INC.""",1881 Nani St Wailuku,"INC."" 1881 Nani St Wailuku",HI,96793-1811,True,1
, PRAIRIESTAR HEALTH CENTER INC 2700 E 30th Ave Hutchinson,,KS,67502-1242,True,1
" ""Mount Vernon Neighborhood Health Center, Inc.""",107 W 4th St Mount Vernon,"Inc."" 107 W 4th St Mount Vernon",NY,10550-4002,True,1
, PRIMECARE COMMUNITY HEALTH INC 2211 N Elston Ave STE 301 Chicago,,IL,60614-9278,True,1
" ""HOLYOKE HEALTH CENTER, INC""",230 Maple Street Holyoke,"INC"" 230 Maple Street Holyoke",MA,01040-5144,True,1
" ""COMMUNITY HEALTH PROJECT, INC.""",356 W 18th St New York,"INC."" 356 W 18th St New York",NY,10011-4462,True,1
, SANTA ROSA COMMUNITY HEALTH CENTERS 3569 Round Barn Cir Santa Rosa,,CA,95403-5781,True,1
" WASHINGTON ASSOCIATION FOR COMMUNITY HEALTH ""101 Capitol Way N, Ste 200""",,Olympia,WA,98501-1077,True,1
, CATHERINES HEALTH CENTER 1211 Lafayette Ave NE Grand Rapids,,MI,49505-5092,True,1
, COMMUNITY HEALTH OF CENTRAL WASHINGTON 501 S 5th Ave Yakima,,WA,98902-3550,True,1
, ASIAN HUMAN SERVICES FAMILY HEALTH CENTER 2505 W Peterson Ave Chicago,,IL,60659-4108,True,1
" ""Community Health Center of Northeast Oklahoma, Inc.""",21965 Bison Dr Afton,"Inc."" 21965 Bison Dr Afton",OK,74331,True,1
" HARDIN COUNTY REGIONAL HEALTH CENTER ""765 Florence Rd, Ste A""",,Savannah,TN,38372-5219,True,1
" ""AMMONOOSUC COMMUNITY HEALTH SERVICES, INC.""",25 Mount Eustis Rd Littleton,"INC."" 25 Mount Eustis Rd Littleton",NH,03561-3772,True,1
" ""Greater Prince William Area Community Health Center, Inc.""",3350 Commission Ct Woodbridge,"Inc."" 3350 Commission Ct Woodbridge",VA,22192-1784,True,1
, CANYONLANDS COMMUNITY HEALTH CARE 827 Vista Ave Page,,AZ,86040-7501,True,1
" ""RAPHAEL HEALTH CENTER, INC.""",401 E 34th St Indianapolis,"INC."" 401 E 34th St Indianapolis",IN,46205-3754,True,1
, SOUTH CENTRAL MISSOURI COMMUNITY HEALTH CENTER 1081 E 18th St Rolla,,MO,65401-3398,True,1
" ""KINSTON COMMUNITY HEALTH CENTER, INC""",324 North Queen Street Kinston,"INC"" 324 North Queen Street Kinston",NC,28501-4932,True,1
" ""DR. ARENIA C. MALLORY COMMUNITY HEALTH CENTER, INC.""",17280 Highway 17 Lexington,"INC."" 17280 Highway 17 Lexington",MS,39095-6614,True,1
" ""OCRACOKE HEALTH CENTER, INC.""",305 Back Rd Ocracoke,"INC."" 305 Back Rd Ocracoke",NC,27960-1007,True,1
, SHORTGRASS COMMUNITY HEALTH CENTER INC 400 E Sycamore St Hollis,,OK,73550-1436,True,1
, INTERCARE COMMUNITY HEALTH NETWORK 50 Industrial Park Rd Bangor,,MI,49013-1246,True,1
" ""FORT BEND FAMILY HEALTH CENTER, INC""",400 Austin St Richmond,"INC"" 400 Austin St Richmond",TX,77469-4406,True,1
" ""The Joseph P. Addabbo Family Health Center, Inc."" 62-",00 Beach Channel Dr Arverne,"Inc."" 62-00 Beach Channel Dr Arverne",NY,11692-1409,True,1
" PEAK VISTA COMMUNITY HEALTH CENTERS ""3205 N Academy Blvd, Ste 130"" Colorado",,Springs,CO,80917-5152,True,1
, TRI STATE COMMUNITY HEALTH CENTER 4041 Knight Arnold Rd Memphis,,TN,38118-2128,True,1
, COMMUNITY HEALTH CONNECTIONS INC 326 Nichols Road Fitchburg,,MA,01420-,True,1
, UNITED FAMILY PRACTICE HEALTH CENTER 1026 7th St W Saint Paul,,MN,55102-3828,True,1
, Aria Community Health Center 555 E St Lemoore,,CA,93245-2617,True,1
, LA CLINCA DEL VALLE FAMILY HEALTH CENTER INC 931 Chevy Way Medford,,OR,97504-4127,True,1
" ""LOS BARRIOS UNIDOS COMMUNITY CLINIC, INC.""",809 Singleton Blvd Dallas,"INC."" 809 Singleton Blvd Dallas",TX,75212-4014,True,1
" ""COMMUNITY HEALTH SERVICES, INCORPORATED""",500 Albany Ave Hartford,"INCORPORATED"" 500 Albany Ave Hartford",CT,06120-2599,True,1
" ""NATIONAL ASSOCIATION OF COMMUNITY HEALTH CENTERS, INC.""",7501 Wisconsin Ave STE 1100W Bethesda,"INC."" 7501 Wisconsin Ave STE 1100W Bethesda",MD,20814-6593,True,1
, LEWIS COUNTY COMMUNITY HEALTH SERVICES 2690 NE Kresky Ave Chehalis,,WA,98532-2412,True,1
, WESTSIDE FAMILY HEALTH CENTER 3861 Sepulveda Blvd Culver City,,CA,90230-4605,True,1
" ""MORA VALLEY COMMUNITY HEALTH SERVICES, INC""",3 Mora Valley Clinic Rd Mora,"INC"" 3 Mora Valley Clinic Rd Mora",NM,87732-2202,True,1
, MIAMI BEACH COMMUNITY HEALTH CENTER INC 710 Alton Rd Miami Beach,,FL,33139-5564,True,1
, ANDERSON VALLEY HEALTH CENTER INC 13500 Airport Rd Boonville,,CA,95415-9133,True,1
, OPEN DOOR COMMUNITY HEALTH CENTERS 1275 8th St Arcata,,CA,95521-5770,True,1
, COASTAL FAMILY HEALTH CENTER 10467 Corporate Dr Gulfport,,MS,39503-4634,True,1
" ""THE RICHFORD HEALTH CENTER, INC""",44 Main St Richford,"INC"" 44 Main St Richford",VT,05476-1153,True,1
" ""AXIS COMMUNITY HEALTH, INC."" ""5925 W Las Positas Blvd, Ste 100""",,Pleasanton,CA,94588-8537,True,1
" ""COMPLETE CARE COMMUNITY HEALTH CENTER, INC.""",3000 S Robertson Blvd STE 280 Los Angeles,"INC."" 3000 S Robertson Blvd STE 280 Los Angeles",CA,90034-3144,True,1
, PRESTON TAYLOR COMMUNITY HEALTH CENTERS INC 25 W Bluemont St Grafton,,WV,26354-1242,True,1
" ""COASTAL COMMUNITY HEALTH SERVICES, INC."" ""106 Shoppers Way, Ste 1""",,Brunswick,GA,31525-0511,True,1
" ""CODMAN SQUARE HEALTH CENTER, INC""",637 Washington Street Dorchester Center,"INC"" 637 Washington Street Dorchester Center",MA,02124-3510,True,1
" ""TREASURE COAST COMMUNITY HEALTH, INC.""",12196 County Road 512 Fellsmere,"INC."" 12196 County Road 512 Fellsmere",FL,32948,True,1
, HERALD CHRISTIAN HEALTH CENTER 3401 Aero Jet Ave El Monte,,CA,91731-2801,True,1
, CHOTA COMMUNITY HEALTH SERVICES 4798 New Highway 68 Madisonville,,TN,37354-1287,True,1
, ACCESS COMMUNITY HEALTH NETWORK 600 W Fulton St Chicago,,IL,60661-1259,True,1
" COMMUNITY HEALTH ASSOCIATION OF MOUNTAIN PLAINS STATES ""600 N Grant St, Ste 800""",,Denver,CO,80203-3528,True,1
, CHARLES DREW HEALTH CENTER INC 2915 Grant St Omaha,,NE,68111-3863,True,1
" ""COMMUNITY HEALTH NETWORK FOUNDATION, INC.""",7330 Shadeland Sta STE 150 Indianapolis,"INC."" 7330 Shadeland Sta STE 150 Indianapolis",IN,46256-3999,True,1
, COMMUNITY HEALTH ASSOCIATION OF SPOKANE 611 N Iron Bridge Way Spokane,,WA,99202-4932,True,1
, PENNSYLVANIA ASSOCIATION OF COMMUNITY HEALTH CENTERS 1035 Mumma Rd STE 1 Wormleysburg,,PA,17043-1147,True,1
" ""Arizona Association of Community Health Centers, Inc.""",3838 North Central Avenue Phoenix,"Inc."" 3838 North Central Avenue Phoenix",AZ,85012-,True,1
" ONEWORLD COMMUNITY HEALTH CENTERS INC ""4920 S 30th St, Ste 103""",,Omaha,NE,68107-1656,True,1
, SQUIRREL HILL HEALTH CENTER 4516 Browns Hill Rd Pittsburgh,,PA,15217-2917,True,1
, LA PINE COMMUNITY HEALTH CENTER 51600 Huntington Rd La Pine,,OR,97739-8887,True,1
" ""SOUTHERN TIER COMMUNITY HEALTH CENTER NETWORK, INC.""",135 N Union St Olean,"INC."" 135 N Union St Olean",NY,14760-2736,True,1
" ""COMMUNITY HEALTH AND WELLNESS CENTER OF GREATER TORRINGTON, INCORPORATED""",469 Migeon Ave Torrington,"INCORPORATED"" 469 Migeon Ave Torrington",CT,06790-4643,True,1
, CARES COMMUNITY HEALTH 1500 21st St Sacramento,,CA,95811-5216,True,1
" ""UMPQUA COMMUNITY HEALTH CENTER, INC.""",150 NE Kenneth Ford Dr Roseburg,"INC."" 150 NE Kenneth Ford Dr Roseburg",OR,97470-1042,True,1
" ""ESPERANZA HEALTH CENTER, INC.""",4417 N 6th St Philadelphia,"INC."" 4417 N 6th St Philadelphia",PA,19140-2396,True,1
" ""CENTER STREET COMMUNITY CLINIC, INC""",136 W Center St Marion,"INC"" 136 W Center St Marion",OH,43302-3704,True,1
" FAMILY HEALTH CENTER CLARK COU ""1319 Duncan Ave, Ste 02""",,Jeffersonville,IN,47130-3759,True,1
" ""COMMUNITY HEALTH CENTERS OF ARKANSAS, INC.""",706 W 4th St North Little Rock,"INC."" 706 W 4th St North Little Rock",AR,72114-5362,True,1
, BLACKSTONE VALLEY COMMUNITY HEALTHCARE I 39 East Ave Pawtucket,,RI,02860-4003,True,1
, North End Community Health Committee Inc 332 Hanover Street Boston,,MA,02113-,True,1
, REFUAH HEALTH CENTER INC 728 N Main St New Square,,NY,10977-8916,True,1
" ""BOND COMMUNITY HEALTH CENTER, INC.""",1720 S Gadsden St Tallahassee,"INC."" 1720 S Gadsden St Tallahassee",FL,32301-5506,True,1
" ""UNION COMMUNITY HEALTH CENTER, INC.""",260 E 188th St Bronx,"INC."" 260 E 188th St Bronx",NY,10458-5397,True,1
, COMMUNITY HEALTH SYSTEMS INC 252 Rural Acres Dr Beckley,,WV,25801-3503,True,1
" ""Hamilton Community Health Network, Inc."" ""225 E 5th St, Ste 300""",,Flint,MI,48502-1641,True,1
" ""Community Health Care Association Of New York State, Inc.""",111 Broadway RM 1402 New York,"Inc."" 111 Broadway RM 1402 New York",NY,10006-,True,1
, CHRISTIAN COMMUNITY HEALTH SERVICES 5 E Liberty St Cincinnati,,OH,45202-8202,True,1
